id,Virulence_Gene,Locus_Tag,Note,Product,DB_Xref,Location
3060,vgrG_SPI-21,SARI_02603,KEGG: eci:UTI89_C0121 1.5e-151 usp; uropathogenic specific protein K01150; COG: COG3501 Uncharacterized protein conserved in bacteria,hypothetical protein,InterPro:IPR002711,SPI-21
3059,hcp,SARI_RS12750,Derived by automated computational analysis using gene prediction method: Protein Homology.,type VI secretion system effector Hcp,,SPI-20
3058,vgrG_SPI-20,SARI_RS12725,Derived by automated computational analysis using gene prediction method: Protein Homology.,type VI secretion system tip protein VgrG,,SPI-20
3057,SARI_02719,SARI_02719,"COG: COG3515 Uncharacterized protein conserved in bacteria; Psort location: Cytoplasmic, score:8.96",hypothetical protein,InterPro:IPR010657,SPI-20
3056,SARI_02718,SARI_02718,"COG: COG3515 Uncharacterized protein conserved in bacteria; Psort location: Cytoplasmic, score:8.96",hypothetical protein,,SPI-20
3055,SARI_RS12650,SARI_RS12650,Derived by automated computational analysis using gene prediction method: Protein Homology.,type VI secretion system ImpA family N-terminal domain-containing protein,,SPI-20
3054,icmF,AX05_10260,Type VI protein secretion system component VasK COG3523; Type VI secretion protein IcmF of Enterobacteriaceae UniRef RepID=B4T7L7_SALHS,Type VI secretion protein IcmF,,SPI-19 & SPI-22
3053,impA,SEN1003,CDS has longer N-terminus than database hits,putative membrane protein,EnsemblGenomes-Gn:SEN1003,SPI-19
3052,STY_RS07055-taiA,STY_RS07055,Derived by automated computational analysis using gene prediction method: Protein Homology.,hypothetical protein,,SPI-18
3051,hlyE,STY_RS07050,Derived by automated computational analysis using gene prediction method: Protein Homology.,hemolysin HlyE,,SPI-18
3050,STY_RS12400-STY2631,STY_RS12400,internal stop; incomplete; partial in the middle of a contig; missing C-terminus; Derived by automated computational analysis using gene prediction method: Protein Homology.,transposase,,SPI-17
3049,STY_RS12395-STY2629,STY_RS12395,Derived by automated computational analysis using gene prediction method: Protein Homology.,acyltransferase,,SPI-17
3048,gtrB,,,GtrB,,SPI-16
3047,gtrA,STM0559,"similar to E. coli orf, hypothetical protein (AAC75409.1); Blastp hit to AAC75409.1 (120 aa), 81% identity in aa 1 - 120",translocase,GeneID:1252079,SPI-16
3046,STY_RS15120-STY3191,STY_RS15120,Derived by automated computational analysis using gene prediction method: Protein Homology.,hypothetical protein,,SPI-15
3045,STY_RS15105-STY3188,STY_RS15105,Derived by automated computational analysis using gene prediction method: Protein Homology.,hypothetical protein,,SPI-15
3044,STM0859,STM0859,"similar to E. coli putative transcriptional regulator LYSR-type (AAC74667.1); Blastp hit to AAC74667.1 (297 aa), 28% identity in aa 1 - 264",putative LysR family transcriptional regulator,GeneID:1252378,SPI-14
3043,STM0854,STM0854,,CoA ester lyase,GeneID:1252373,SPI-14
3042,STM3121,STM3121,putative transcriptional regulator (gi|5852589),putative LysR family transcriptional regulator,GeneID:1254644,SPI-13
3041,STM3119,STM3119,"similar to E. coli putative aldehyde dehydrogenase (AAC74469.1); Blastp hit to AAC74469.1 (681 aa), 29% identity in aa 530 - 661",molybdenum cofactor biosynthesis protein MoeC,GeneID:1254642,SPI-13
3040,STM3118,STM3118,"similar to E. coli putative coenzyme A transferase (AAC75957.1); Blastp hit to AAC75957.1 (492 aa), 27% identity in aa 187 - 458, 24% identity in aa 8 - 169",putative acetyl-CoA hydrolase,GeneID:1254641,SPI-13
3039,oafA,STM2232,O-antigen five:,acyltransferase,GeneID:1253754,SPI-12
3038,STM2239,STM2239,"similar to antiterminator protein Q of phage P5; similar to E. coli orf, hypothetical protein (AAC73652.1); Blastp hit to AAC73652.1 (127 aa), 47% identity in aa 1 - 121",hypothetical protein,GeneID:1253761,SPI-11
3037,msgA,STY_RS08885,Derived by automated computational analysis using gene prediction method: Protein Homology.,virulence protein MsgA,,SPI-11
3036,envF,STM1240,probable lipoprotein ENVF precursor (SW:ENVF_SALTY),lipoprotein EnvF,GeneID:1252758,SPI-11
3035,STY_RS23105-STY4826,STY_RS23105,Derived by automated computational analysis using gene prediction method: Protein Homology.,ogr/Delta-like zinc finger family protein,,SPI-10
3033,STY_RS13660-STY2878,STY_RS13660,Derived by automated computational analysis using gene prediction method: Protein Homology.,HlyD family type I secretion periplasmic adaptor subunit,,SPI-9
3032,STY_RS15540-STY3281,STY_RS15540,Derived by automated computational analysis using gene prediction method: Protein Homology.,bacteriocin immunity protein,,SPI-8
3031,STY_RS15545-STY3283,STY_RS15545,Derived by automated computational analysis using gene prediction method: Protein Homology.,bacteriocin immunity protein,,SPI-8
3030,viaB,,,Vi antigen,,SPI-7
3029,viaA,SN31241_48340,Protein viaA of Bacteria UniRef RepID=VIAA_PECCP,Protein viaA,,SPI-7
3028,PilV2,,,PilV2,,SPI-7
3027,PilU,,,PilU,,SPI-7
3026,pilT,,,PilT,,SPI-7
3025,pilS,,,PilS,,SPI-7
3024,pilR,,,PilR,,SPI-7
3023,pilQ,,,PilQ,,SPI-7
3022,pilP,,,PilP,,SPI-7
3021,pilO,,,PilO,,SPI-7
3020,pilNb,,,PilNb,,SPI-7
3019,PilNa,,,PilNa,,SPI-7
3018,pilM,,,PilM,,SPI-7
3017,pilL,,,PilL,,SPI-7
3016,pilV,STY_RS21740,Derived by automated computational analysis using gene prediction method: Protein Homology.,shufflon system plasmid conjugative transfer pilus tip adhesin PilV,,SPI-6
3015,pagN,STM0306,,adhesin,GeneID:1251825,SPI-6
3014,tinR,STY_RS01600,Derived by automated computational analysis using gene prediction method: Protein Homology.,Lrp/AsnC family transcriptional regulator,,SPI-6
3013,sciS,STM0285,,hypothetical protein,GeneID:1251804,SPI-6
3012,sciR,STM0284,,putative shiga-like toxin A subunit,GeneID:1251803,SPI-6
3011,sciL,STM0277,,hypothetical protein,GeneID:1251796,SPI-6
3010,siiF,B0X74_24885,part of type 1 secretory system (T1SS); Derived by automated computational analysis using gene prediction method: Protein Homology.,type 1 secretory system ATP-binding cassette component protein,,SPI-4
3009,siiC,B0X74_24870,part of Salmonella Pathogenicity Island 4 (SPI-4); Derived by automated computational analysis using gene prediction method: Protein Homology.,type 1 secretion system outer membrane component SiiC,,SPI-4
3008,STM3780,STM3780,"similar to E. coli tagatose-bisphosphate aldolase 2 (AAC76171.1); Blastp hit to AAC76171.1 (286 aa), 36% identity in aa 1 - 277","fructose-1,6-bisphosphate aldolase",GeneID:1255304,SPI-3
3007,marT,STM3759,Pathogenicity island encoded protein: SPI3; putative transcriptional regulator MarT (gi|4324612),putative transcriptional regulatory protein,GeneID:1255283,SPI-3
3006,STM3754,STM3754,Pathogenicity island encoded protein: SPI3; putative ATP binding protein SugR (gi|4324607),putative cytoplasmic protein,GeneID:1255278,SPI-3
3005,STM3752,STM3752,Pathogenicity island encoded protein: SPI3,hypothetical protein,GeneID:1255276,SPI-3
3004,ttrC,STM1384,tetrathionate reductase subunit C (TtrC) (gi|4456872),tetrathionate reductase subunit C,GeneID:1252902,SPI-2
3003,STM2905,STM2905,,GNAT family N-acetyltransferase,GeneID:1254428,SPI-1
3002,STM2902,STM2902,,putative cytoplasmic protein,GeneID:1254425,SPI-1
3001,STM2901,STM2901,,hypothetical protein,GeneID:1254424,SPI-1
493,STM0328,STM0328,"similar to E. coli putative transport protein (AAC74668.1); Blastp hit to AAC74668.1 (417 aa), 34% identity in aa 33 - 407",putative permease,NP_459323.3,genome
492,finP,PSLT072,,putative transglycosylase,NP_490559.1,genome
491,PSLT046,PSLT046,,putative carbonic anhydrase,NP_490536.1,genome
490,STM4433,STM4433,"oxidoreductase family; similar to E. coli putative virulence factor (AAC74152.1); Blastp hit to AAC74152.1 (307 aa), 29% identity in aa 1 - 188, 52% identity in aa 272 - 296",inositol 2-dehydrogenase,NP_463294.1,genome
489,STM4316,STM4316,,hypothetical protein,NP_463181.1,genome
488,STM4261,STM4261,fusion of two hypothetical proteins; (gi|7467255) and (gi|7467255),hypothetical protein,NP_463126.1,genome
487,STM4260,STM4260,predicted cation efflux pump; HLYD secretion protein (gi|7467244),cation transporter,NP_463125.1,genome
486,STM4206,STM4206,"similar to E. coli orf, hypothetical protein (AAC75409.1); Blastp hit to AAC75409.1 (120 aa), 69% identity in aa 1 - 120",translocase,NP_463071.1,genome
485,STM4198,STM4198,,hypothetical protein,NP_463063.1,genome
484,STM4158,STM4158,,hypothetical protein,NP_463027.1,genome
483,STM4155,STM4155,,putative inner membrane protein,NP_463024.1,genome
482,STM4051,STM4051,hypothetical 15.6 Kda protein in RHAT 5'region. (SW:YIIY_SALTY),putative outer membrane protein,NP_462932.3,genome
481,STM3981,STM3981,,putative cytoplasmic protein,NP_462866.1,genome
480,STM3980,STM3980,,putative outer membrane protein,NP_462865.1,genome
479,STM3907,STM3907,,hypothetical protein,NP_462798.1,genome
478,STM3690,STM3690,,hypothetical protein,NP_462590.1,genome
477,STM3602,STM3602,"similar to E. coli putative transcriptional regulator (AAC76400.1); Blastp hit to AAC76400.1 (265 aa), 28% identity in aa 27 - 260",GntR family transcriptional regulator,NP_462503.1,genome
476,STM3192,STM3192,,putative arylsulfate sulfotransferase,NP_452517.1,genome
475,STM3191,STM3191,,putative arylsulfate sulfotransferase,NP_452516.1,genome
474,STM3128,STM3128,"similar to E. coli probable oxidoreductase (AAC74383.1); Blastp hit to AAC74383.1 (426 aa), 35% identity in aa 7 - 414",FAD-dependent oxidoreductase,NP_462043.1,genome
473,STM3036,STM3036,,putative inner membrane protein,NP_461953.1,genome
471,STM2680,STM2680,,hypothetical protein,NP_461610.1,genome
470,STM2585,STM2585,similar to transposase,Gifsy-1 prophage protein,NP_461520.1,genome
469,STM2574,STM2574,"similar to E. coli putative resistance protein (AAC76571.1); Blastp hit to AAC76571.1 (402 aa), 28% identity in aa 10 - 399",MFS transporter,NP_461509.1,genome
468,STM2503,STM2503,"similar to E. coli putative cytochrome C-type biogenesis protein (AAC75556.1); Blastp hit to AAC75556.1 (747 aa), 73% identity in aa 1 - 733",sensor domain-containing phosphodiesterase,NP_461438.1,genome
467,STM2373,STM2373,,hypothetical protein,NP_461315.1,genome
466,STM2245,STM2245,,putative outer membrane protein,NP_461188.1,genome
465,STM2243,STM2243,"similar to E. coli putative membrane protein (AAC74454.1); Blastp hit to AAC74454.1 (1122 aa), 60% identity in aa 458 - 505, 24% identity in aa 369 - 530",phage tail protein,NP_461186.1,genome
464,STM2197,STM2197,"similar to E. coli 3-phosphoserine phosphatase (AAC77341.1); Blastp hit to AAC77341.1 (322 aa), 39% identity in aa 111 - 305",phosphoserine phosphatase SerB,NP_461142.1,genome
463,STM2137,STM2137,,putative cytoplasmic protein,NP_461081.1,genome
462,STM1934,STM1934,"similar to E. coli orf, hypothetical protein (AAC74974.1); Blastp hit to AAC74974.1 (107 aa), 61% identity in aa 1 - 104",hypothetical protein,NP_460890.1,genome
461,STM1896,STM1896,,putative cytoplasmic protein,NP_460853.1,genome
460,STM1864,STM1864,,disulfide bond formation protein B,NP_460820.1,genome
459,STM1669,STM1669,"homology to invasin C of Yersinia; similar to E. coli putative factor (AAC74304.1); Blastp hit to AAC74304.1 (417 aa), 30% identity in aa 38 - 403",invasin,NP_460627.1,genome
458,STM1668,STM1668,,putative outer membrane or exported protein,NP_460626.1,genome
457,STM1583,STM1583,,effector protein steA,NP_460542.1,genome
456,STM1549,STM1549,"similar to E. coli orf, hypothetical protein (AAC77205.1); Blastp hit to AAC77205.1 (131 aa), 82% identity in aa 1 - 129",hypothetical protein,NP_460509.1,genome
455,STM1527,STM1527,"similar to E. coli orf, hypothetical protein (AAC74593.1); Blastp hit to AAC74593.1 (321 aa), 84% identity in aa 11 - 321",putative inner membrane protein,NP_460487.1,genome
454,STM1002,STM1002,"similar to E. coli putative dehydratase (AAC75909.1); Blastp hit to AAC75909.1 (398 aa), 50% identity in aa 14 - 395",diaminopropionate ammonia-lyase,NP_459977.1,genome
453,STM0972,STM0972,,pathogenicity island 1 protein SopD2,NP_459947.1,genome
452,STM0765,STM0765,"similar to E. coli putative transport protein (AAC75352.1); Blastp hit to AAC75352.1 (610 aa), 31% identity in aa 9 - 193, 27% identity in aa 413 - 610, 27% identity in aa 425 - 594, 24% identity in aa 6 - 196",putative cation transporter,NP_459745.1,genome
451,STM0723,STM0723,"similar to E. coli ATP-binding component of putrescine transport system (AAC73942.1); Blastp hit to AAC73942.1 (404 aa), 28% identity in aa 61 - 259",sugar ABC transporter ATP-binding protein,NP_459708.1,genome
450,STM0557,STM0557,,putative inner membrane protein,NP_459550.1,genome
449,STM0520,STM0520,"similar to E. coli putative transport protein, cryptic, orf, joins former yjiZ and yjjL (AAC77312.1); Blastp hit to AAC77312.1 (453 aa), 24% identity in aa 40 - 439",MFS transporter,NP_459515.1,genome
448,STM0438,STM0438,"similar to E. coli orf, hypothetical protein (AAC73748.1); Blastp hit to AAC73748.1 (184 aa), 35% identity in aa 77 - 179, 33% identity in aa 56 - 171",putative TPR repeat protein,NP_459434.1,genome
446,STM0036,STM0036,"similar to E. coli putative arylsulfatase regulator (AAC76803.1); Blastp hit to AAC76803.1 (411 aa), 46% identity in aa 8 - 401",anaerobic sulfatase maturase,NP_459041.1,genome
445,STM0030,STM0030,leuO homolog (gi|6650098),putative LysR family transcriptional regulator,NP_459035.1,genome
444,STM0016,STM0016,,hypothetical protein,NP_459021.1,genome
443,znuC,STM1892,"ATP-binding protein; similar to E. coli putative ATP-binding component of a transport system (AAC74928.1); Blastp hit to AAC74928.1 (251 aa), 95% identity in aa 1 - 251",ABC superfamily high affinity Zn transport protein,NP_460849.3,genome
442,znuB,STM1893,"ATP-binding protein; similar to E. coli orf, hypothetical protein (AAC74929.1); Blastp hit to AAC74929.1 (261 aa), 96% identity in aa 1 - 261",zinc ABC transporter permease,NP_460850.1,genome
441,znuA,STM1891,"binding protein; similar to E. coli putative adhesin (AAC74927.1); Blastp hit to AAC74927.1 (328 aa), 85% identity in aa 1 - 328",ABC superfamily high affinity Zn transport protein,NP_460848.3,genome
440,yqaE,STM2796,"similar to E. coli orf, hypothetical protein (AAC75713.1); Blastp hit to AAC75713.1 (52 aa), 94% identity in aa 1 - 51",proteolipid membrane potential modulator,NP_461722.1,genome
439,yneC,STM4079,"similar to E. coli orf, hypothetical protein (AAC74591.1); Blastp hit to AAC74591.1 (96 aa), 80% identity in aa 1 - 96",putative inner membrane protein,NP_462960.3,genome
438,yneB,STM4078,"similar to E. coli orf, hypothetical protein (AAC74590.1); Blastp hit to AAC74590.1 (291 aa), 89% identity in aa 1 - 290",autoinducer 2 aldolase,NP_462959.1,genome
437,yncB,STM1589,"similar to E. coli putative oxidoreductase (AAC74531.1); Blastp hit to AAC74531.1 (376 aa), 85% identity in aa 28 - 375",putative NADP-dependent oxidoreductase,NP_460548.1,genome
436,ynaF,STM1652,"similar to E. coli putative filament protein (AAC74458.1); Blastp hit to AAC74458.1 (168 aa), 90% identity in aa 25 - 168",universal stress protein F,NP_460611.1,genome
435,yjeJ,STM4332,"similar to E. coli orf, hypothetical protein (AAC77105.1); Blastp hit to AAC77105.1 (289 aa), 58% identity in aa 1 - 283",hypothetical protein,NP_463196.1,genome
434,yjeA,STM4344,putative LYSL-tRNA synthetase. (SW:SYK3_SALTY),elongation factor P lysine(34) lysyltransferase,NP_463208.1,genome
433,yjdB,STM4293,hypothetical 61.6 Kda protein in basS/pmrA-adiY intergenic region. (SW:YJDB_SALTY),phosphoethanolamine transferase EptA,NP_463158.1,genome
432,yjaG,STM4169,"similar to E. coli orf, hypothetical protein (AAC76973.1); Blastp hit to AAC76973.1 (196 aa), 94% identity in aa 1 - 196",hypothetical protein,NP_463038.1,genome
431,yijP,STM4118,"similar to E. coli orf, hypothetical protein (AAC76937.1); Blastp hit to AAC76937.1 (577 aa), 89% identity in aa 1 - 577",hypothetical protein,NP_462998.1,genome
430,yigG,STM3954,"similar to E. coli orf, hypothetical protein (AAC76821.1); Blastp hit to AAC76821.1 (138 aa), 57% identity in aa 7 - 136",hypothetical protein,NP_462839.1,genome
429,yigF,STM3953,hypothetical 14.6 Kda protein in corA-rarD intergenic region. (SW:YIGF_SALTY),hypothetical protein,NP_462838.1,genome
428,yibD,STM3707,"similar to E. coli putative regulator (AAC76639.1); Blastp hit to AAC76639.1 (344 aa), 80% identity in aa 1 - 343",putative glycosyltransferase,NP_462607.1,genome
427,yiaO,STM3673,"similar to E. coli putative solute-binding transport protein (AAC76603.1); Blastp hit to AAC76603.1 (328 aa), 87% identity in aa 1 - 328","2,3-diketo-L-gulonate TRAP transporter",NP_462573.1,genome
426,yfhL,STM2576,"similar to E. coli orf, hypothetical protein (AAC75615.1); Blastp hit to AAC75615.1 (86 aa), 94% identity in aa 1 - 86",putative ferredoxin,NP_461511.1,genome
425,yfhH,STM2572,"membrane; similar to E. coli orf, hypothetical protein (AAC75614.1); Blastp hit to AAC75614.1 (306 aa), 83% identity in aa 25 - 306",hypothetical protein,NP_461507.1,genome
424,yeiA,STM2187,"similar to E. coli putative oxidoreductase (AAC75208.1); Blastp hit to AAC75208.1 (413 aa), 93% identity in aa 3 - 413",dihydropyrimidine dehydrogenase subunit B,NP_461132.1,genome
423,yegQ,STM2136,"similar to E. coli orf, hypothetical protein (AAC75142.1); Blastp hit to AAC75142.1 (453 aa), 96% identity in aa 1 - 453",U32 family peptidase,NP_461080.1,genome
422,yeeI,STM2001,"similar to E. coli orf, hypothetical protein (AAC75041.1); Blastp hit to AAC75041.1 (278 aa), 85% identity in aa 14 - 263",hypothetical protein,NP_460951.1,genome
421,yeaJ,STM1283,"Diguanylate cyclase/phosphodiesterase domain 1; similar to E. coli orf, hypothetical protein (AAC74856.1); Blastp hit to AAC74856.1 (556 aa), 68% identity in aa 61 - 556",diguanylate cylase,NP_460249.1,genome
420,ydjA,STM1296,"similar to E. coli orf, hypothetical protein (AAC74835.1); Blastp hit to AAC74835.1 (183 aa), 88% identity in aa 1 - 183",NAD(P)H nitroreductase,NP_460262.1,genome
419,ydiY,STM1327,"similar to E. coli orf, hypothetical protein (AAC74792.1); Blastp hit to AAC74792.1 (252 aa), 88% identity in aa 1 - 252",hypothetical protein,NP_460293.1,genome
418,ydiK,STM1364,"similar to E. coli orf, hypothetical protein (AAC74758.1); Blastp hit to AAC74758.1 (370 aa), 89% identity in aa 1 - 370",hypothetical protein,NP_460329.1,genome
417,ydhD,STM1433,"similar to E. coli orf, hypothetical protein (AAC74726.1); Blastp hit to AAC74726.1 (115 aa), 97% identity in aa 1 - 115",Grx4 family monothiol glutaredoxin,NP_460396.1,genome
416,ydgF,STM1482,"similar to E. coli possible chaperone (AAC74672.1); Blastp hit to AAC74672.1 (121 aa), 83% identity in aa 4 - 121",multidrug transporter subunit MdtJ,NP_460442.1,genome
415,yddX,STM1564,"similar to E. coli orf, hypothetical protein (AAC74554.1); Blastp hit to AAC74554.1 (92 aa), 88% identity in aa 22 - 92",biofilm-dependent modulation protein,NP_460523.1,genome
414,yciH,STM1706,protein YCIH. (SW:YCIH_SALTY),translation initiation factor,NP_460665.1,genome
413,yciF,STM1729,"similar to E. coli putative structural proteins (AAC74340.1); Blastp hit to AAC74340.1 (166 aa), 86% identity in aa 1 - 166",hypothetical protein,NP_460688.1,genome
412,ychF,STM1784,"similar to E. coli putative GTP-binding protein (AAC74287.1); Blastp hit to AAC74287.1 (363 aa), 95% identity in aa 1 - 363",redox-regulated ATPase YchF,NP_460740.1,genome
411,ycbG,STM1069,"similar to E. coli putative dehydrogenase (AAC74042.1); Blastp hit to AAC74042.1 (150 aa), 89% identity in aa 1 - 150",Ter macrodomain-binding protein MatP,NP_460043.1,genome
410,ybhM,STM0808,"similar to E. coli orf, hypothetical protein (AAC73874.1); Blastp hit to AAC73874.1 (237 aa), 31% identity in aa 24 - 228",hypothetical protein,NP_459786.1,genome
409,ybaJ,STM0474,"similar to E. coli orf, hypothetical protein (AAC73563.1); Blastp hit to AAC73563.1 (124 aa), 95% identity in aa 1 - 124",Hha toxicity attenuator,NP_459469.1,genome
408,yaiU,STM0373,"similar to 3rd module of ATP-binding components of transporters; similar to E. coli putative flagellin structural protein (AAC73477.1); Blastp hit to AAC73477.1 (467 aa), 91% identity in aa 1 - 467",autotransporter outer membrane beta-barrel domain-containing protein,NP_459368.1,genome
407,yafS,STM0262,"similar to E. coli orf, hypothetical protein (AAC73318.1); Blastp hit to AAC73318.1 (246 aa), 86% identity in aa 7 - 244",putative SAM-dependent methyltransferase,NP_459260.1,genome
406,wecE,STM3925,"similar to E. coli putative regulator (AAC76796.1); Blastp hit to AAC76796.1 (376 aa), 92% identity in aa 1 - 376","dTDP-4-amino-4,6-dideoxygalactose transaminase",NP_462815.1,genome
405,wcaM,STM2099,colanic acid biosynthesis protein WCAM. (SW:WCAM_SALTY),colanic acid biosynthesis protein WcaM,NP_461044.1,genome
404,wcaE,STM2111,"in colanic acid gene cluster; similar to E. coli putative colanic acid biosynthesis glycosyl transferase (AAC75116.1); Blastp hit to AAC75116.1 (248 aa), 71% identity in aa 1 - 248",colanic acid biosynthesis glycosyltransferase WcaE,NP_461056.1,genome
403,waaZ,STY_RS19490,Derived by automated computational analysis using gene prediction method: Protein Homology.,3-deoxy-D-manno-oct-2-ulosonate III transferase WaaZ,WP_000536021.1,genome
402,waaK,STY_RS19495,Derived by automated computational analysis using gene prediction method: Protein Homology.,lipopolysaccharide N-acetylglucosaminyltransferase,WP_000591814.1,genome
401,waaO,STY_RS19475,Derived by automated computational analysis using gene prediction method: Protein Homology.,lipopolysaccharide 3-alpha-galactosyltransferase,WP_000088491.1,genome
400,waaG,STY_RS19450,Derived by automated computational analysis using gene prediction method: Protein Homology.,glycosyltransferase family 4 protein,WP_001261571.1,genome
399,waaB,STY_RS19470,Derived by automated computational analysis using gene prediction method: Protein Homology.,"lipopolysaccharide 1,6-galactosyltransferase",WP_000704702.1,genome
398,vexE,STY_RS22220,Derived by automated computational analysis using gene prediction method: Protein Homology.,Vi polysaccharide transport protein VexE,WP_000052242.1,genome
397,vexD,STY_RS22225,Derived by automated computational analysis using gene prediction method: Protein Homology.,Vi polysaccharide ABC transporter inner membrane protein VexD,WP_000431675.1,genome
396,vexC,STY_RS22230,Derived by automated computational analysis using gene prediction method: Protein Homology.,Vi polysaccharide ABC transporter ATP-binding protein VexC,WP_000467404.1,genome
395,vexB,STY_RS22235,Derived by automated computational analysis using gene prediction method: Protein Homology.,Vi polysaccharide ABC transporter inner membrane protein VexB,WP_001023498.1,genome
394,vexA,STY_RS22240,Derived by automated computational analysis using gene prediction method: Protein Homology.,Vi polysaccharide ABC transporter protein VexA,WP_000720235.1,genome
393,vacJ,STM2392,"similar to E. coli lipoprotein precursor (AAC75406.1); Blastp hit to AAC75406.1 (251 aa), 94% identity in aa 1 - 251",phospholipid-binding lipoprotein MlaA,NP_461334.1,genome
392,vacB,STM4368,"similar to E. coli putative enzyme (AAC77136.1); Blastp hit to AAC77136.1 (827 aa), 95% identity in aa 15 - 827",ribonuclease R,NP_463229.1,genome
391,uvrY,STM1947,"similar to E. coli putative 2-component transcriptional regulator (AAC74981.1); Blastp hit to AAC74981.1 (218 aa), 96% identity in aa 1 - 218",two-component system response regulator UvrY,NP_460900.1,genome
390,udg,STM2080,UDP-glucose 6-dehydrogenase. (SW:UDG_SALTY),UDP-glucose 6-dehydrogenase,NP_461025.1,genome
389,ugd,STY_RS10770,Derived by automated computational analysis using gene prediction method: Protein Homology.,UDP-glucose 6-dehydrogenase,WP_000704814.1,genome
