sample_id	molecule_type	primary_cluster_id	secondary_cluster_id	contig_id	size	gc	md5	circularity_status	rep_type(s)	rep_type_accession(s)	relaxase_type(s)	relaxase_type_accession(s)	mpf_type	mpf_type_accession(s)	orit_type(s)	orit_accession(s)	predicted_mobility	mash_nearest_neighbor	mash_neighbor_distance	mash_neighbor_identification	repetitive_dna_id	repetitive_dna_type	filtering_reason
SH033793	plasmid	AC305	AL439	NODE_33_length_1969_cov_1063.484672	1969	0.5363128491620112	4cc371ab4ac48bc2f15c1eb448d3b10a	not tested	-	-	-	-	-	-	-	-	-	CP037995	0.00058191	Salmonella enterica subsp. enterica serovar Brancaster	AF174129	IS3000	repetitve element
SH033793	chromosome	-	-	NODE_34_length_1819_cov_1897.363949	1819	0.5327102803738317	d01531d02ccbd0e8489b58c8af274068	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SH033793	chromosome	-	-	NODE_35_length_1229_cov_612.113715	1229	0.516680227827502	e0fddb6ca6c6699c7e57803555b26bf5	not tested	-	-	-	-	-	-	-	-	-	-	-	-	KU870980	ISEhe3	repetitve element
SH033793	chromosome	-	-	NODE_36_length_1214_cov_1909.097625	1214	0.5362438220757826	9954f56fd3682130b2507f35368b5a5d	not tested	-	-	-	-	-	-	-	-	-	-	-	-	CP016586.1	23s-rRNA	repetitve element
SH033793	chromosome	-	-	NODE_37_length_896_cov_1300.340659	896	0.5055803571428571	d84b1a66ddd295347b5dffef469676ac	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SH033793	chromosome	-	-	NODE_38_length_887_cov_622.540741	887	0.5445321307779031	2cf09ef3c2223b35e0574d732af3446b	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SH033793	chromosome	-	-	NODE_39_length_779_cov_3949.576923	779	0.5224646983311938	7fd438194c07816cd4ed1fb4e018e376	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SH033793	chromosome	-	-	NODE_3_length_458597_cov_305.137898	458597	0.5244800990848174	97573b5c35327ae043eaaa74a3eaa193	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SH033793	chromosome	-	-	NODE_40_length_661_cov_2116.426370	661	0.5521936459909228	897fc928aac579aedbe211d3ca8b4622	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SH033793	chromosome	-	-	NODE_41_length_547_cov_229.468085	547	0.6380255941499086	dbe31d04eb4b5b194cf9afd5a8bccd03	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SH033793	chromosome	-	-	NODE_42_length_521_cov_195.653153	521	0.6660268714011516	d8879f9ebcd7ad9bb29d6037b16b8819	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SH033793	chromosome	-	-	NODE_43_length_501_cov_857.313679	501	0.4930139720558882	390cfb86273872c7834e824b2feb9639	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SH033793	chromosome	-	-	NODE_44_length_473_cov_209.868687	473	0.6469344608879493	934b313ab2136f8d981dd2863578a5d8	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SH033793	chromosome	-	-	NODE_45_length_468_cov_265.634271	468	0.5341880341880342	599437cf5ca078d52b73ea2bc64da452	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SH033793	chromosome	-	-	NODE_46_length_410_cov_175.747748	410	0.5	8209526e7432a318bbdb788fde0af79d	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SH033793	chromosome	-	-	NODE_47_length_407_cov_224.957576	407	0.6363636363636364	c51c9080ed49bbf9e13af5da00a33235	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SH033793	chromosome	-	-	NODE_4_length_375821_cov_301.447555	375821	0.5249786467493833	f63f8b7229d34a43dfd52f0f7c4d50a6	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SH033793	chromosome	-	-	NODE_50_length_359_cov_383.773050	359	0.6601671309192201	f027d9d7a3a80acba89e0daf757c61dd	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SH033793	chromosome	-	-	NODE_52_length_341_cov_318.844697	341	0.5190615835777126	ad3f82a69c4899e2645ac2eef8e54937	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SH033793	chromosome	-	-	NODE_53_length_332_cov_445.113725	332	0.6234939759036144	1e0997258e293cabc29338936ddd8348	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SH033793	chromosome	-	-	NODE_54_length_306_cov_252.624454	306	0.5392156862745098	ea581c0520cb384586dc5ef30bac8a13	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SH033793	chromosome	-	-	NODE_55_length_302_cov_269.284444	302	0.5066225165562914	32fb18b22ed6599d8d5198a6e08cd836	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SH033793	chromosome	-	-	NODE_56_length_299_cov_189.698198	299	0.6354515050167224	c2cd7746f1aea3acff1a969a513fb734	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SH033793	chromosome	-	-	NODE_57_length_297_cov_303.268182	297	0.5589225589225589	653098eaaaa0ed153eecf10c2aba25a9	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SH033793	chromosome	-	-	NODE_58_length_288_cov_245.407583	288	0.5451388888888888	64ffbc39b562c771fba8322b80666b6e	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SH033793	chromosome	-	-	NODE_59_length_286_cov_242.468900	286	0.5034965034965035	e6cb19967b863dfe3bbff4aa88dc7697	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SH033793	chromosome	-	-	NODE_5_length_262450_cov_298.937596	262450	0.5144522766241189	8aef30b696a758cf3ea2f86aaf096b60	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SH033793	chromosome	-	-	NODE_66_length_270_cov_227.170984	270	0.4962962962962963	3ed81698744f5efd16982f6a069f02ca	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SH033793	chromosome	-	-	NODE_6_length_231654_cov_295.455119	231654	0.5363386775104251	034a01cb42507b5c919886263a7acad7	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SH033793	chromosome	-	-	NODE_74_length_264_cov_135.112299	264	0.625	06c5c2265050b8cde2aaf21342a8a091	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SH033793	chromosome	-	-	NODE_7_length_225830_cov_289.222456	225830	0.5190010184652172	ac53e20f13688752eaa71801fa07b0d5	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SH033793	chromosome	-	-	NODE_8_length_211356_cov_279.240232	211356	0.5414371960105225	e48af6a8bf8c42633686b2f04038d662	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SH033793	chromosome	-	-	NODE_92_length_251_cov_171.086207	251	0.6812749003984063	d8d1bb382cfe1c7f45109253ad98dd94	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SH033793	chromosome	-	-	NODE_98_length_248_cov_2.309942	248	0.4798387096774194	242183912731ff9da4fe0e9bc37e3ecc	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SH033793	chromosome	-	-	NODE_9_length_207356_cov_321.213669	207356	0.5092642604988522	6870ad20ddbbcc4a80909cb7946d3b27	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
