"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","CA110357","CA114720","CA139575","CA140404","CA140705","CA140717"
"speA","","Biosynthetic arginine decarboxylase","6","6","1","1","943","","","","1832","1835","1834","OBHBHFCO_00499","CCHHBCMG_00896","HDHBLALJ_00014","NFMMKAFD_01082","HIOKELPH_00605","DOCPNFPP_01475"
"dnaK","","Chaperone protein DnaK","6","6","1","1","932","","","","1871","1871","1871","OBHBHFCO_00506","CCHHBCMG_00901","HDHBLALJ_00007","NFMMKAFD_01091","HIOKELPH_00612","DOCPNFPP_01482"
"group_271","","hypothetical protein","6","6","1","1","1629","","","","494","494","494","OBHBHFCO_00533","CCHHBCMG_00169","HDHBLALJ_00416","NFMMKAFD_00167","HIOKELPH_00199","DOCPNFPP_00079"
"tsf","","Elongation factor Ts","6","6","1","1","1646","","","","1073","1073","1073","OBHBHFCO_00547","CCHHBCMG_00153","HDHBLALJ_00430","NFMMKAFD_00151","HIOKELPH_00183","DOCPNFPP_00065"
"petB","","Cytochrome b","6","6","1","1","1654","","","","1250","1250","1250","OBHBHFCO_00551","CCHHBCMG_00149","HDHBLALJ_00434","NFMMKAFD_00147","HIOKELPH_00179","DOCPNFPP_00061"
"aer_2","","Aerotaxis receptor","6","6","1","1","1659","","","","497","497","497","OBHBHFCO_00555","CCHHBCMG_00145","HDHBLALJ_00438","NFMMKAFD_00143","HIOKELPH_00175","DOCPNFPP_00057"
"group_276","","hypothetical protein","6","6","1","1","1660","","","","1379","1379","1379","OBHBHFCO_00556","CCHHBCMG_00144","HDHBLALJ_00439","NFMMKAFD_00142","HIOKELPH_00174","DOCPNFPP_00056"
"gatB","","Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B","6","6","1","1","1667","","","","1418","1418","1418","OBHBHFCO_00563","CCHHBCMG_00137","HDHBLALJ_00446","NFMMKAFD_00135","HIOKELPH_00166","DOCPNFPP_00049"
"atpB","","ATP synthase subunit a","6","6","1","1","1673","","","","680","680","680","OBHBHFCO_00570","CCHHBCMG_00136","HDHBLALJ_00453","NFMMKAFD_00129","HIOKELPH_00159","DOCPNFPP_00042"
"groS","","10 kDa chaperonin","6","6","1","1","1697","","","","260","260","260","OBHBHFCO_00589","CCHHBCMG_00121","HDHBLALJ_00472","NFMMKAFD_00114","HIOKELPH_00140","DOCPNFPP_00023"
"group_283","","hypothetical protein","6","6","1","1","1725","","","","374","374","374","OBHBHFCO_00605","CCHHBCMG_00110","HDHBLALJ_00488","NFMMKAFD_00103","HIOKELPH_00120","DOCPNFPP_00007"
"uvrA","","UvrABC system protein A","6","6","1","3","210","","","","2822","2825","2823","OBHBHFCO_00614","CCHHBCMG_01400","HDHBLALJ_00979","NFMMKAFD_01184","HIOKELPH_01196","DOCPNFPP_01140"
"pomA","","Chemotaxis protein PomA","6","6","1","3","216","","","","776","776","776","OBHBHFCO_00620","CCHHBCMG_01395","HDHBLALJ_00973","NFMMKAFD_01190","HIOKELPH_01190","DOCPNFPP_01146"
"ahpC","","Alkyl hydroperoxide reductase C","6","6","1","3","220","","","","596","596","596","OBHBHFCO_00623","CCHHBCMG_01392","HDHBLALJ_00970","NFMMKAFD_01193","HIOKELPH_01187","DOCPNFPP_01149"
"ndk","","Nucleoside diphosphate kinase","6","6","1","3","222","","","","413","413","413","OBHBHFCO_00625","CCHHBCMG_01390","HDHBLALJ_00968","NFMMKAFD_01195","HIOKELPH_01185","DOCPNFPP_01151"
"rpmF","","50S ribosomal protein L32","6","6","1","3","224","","","","146","146","146","OBHBHFCO_00627","CCHHBCMG_01388","HDHBLALJ_00966","NFMMKAFD_01197","HIOKELPH_01183","DOCPNFPP_01153"
"fliF","","Flagellar M-ring protein","6","6","1","3","248","","","","1682","1682","1682","OBHBHFCO_00641","CCHHBCMG_01376","HDHBLALJ_00952","NFMMKAFD_01209","HIOKELPH_01169","DOCPNFPP_01167"
"rplY","","50S ribosomal protein L25","6","6","1","3","257","","","","536","536","536","OBHBHFCO_00648","CCHHBCMG_01369","HDHBLALJ_00945","NFMMKAFD_01216","HIOKELPH_01162","DOCPNFPP_01174"
"bioD","","ATP-dependent dethiobiotin synthetase BioD","6","6","1","3","275","","","","605","605","605","OBHBHFCO_00651","CCHHBCMG_01366","HDHBLALJ_00942","NFMMKAFD_01219","HIOKELPH_01159","DOCPNFPP_01177"
"greA","","Transcription elongation factor GreA","6","6","1","3","299","","","","485","485","485","OBHBHFCO_00676","CCHHBCMG_01347","HDHBLALJ_00917","NFMMKAFD_01244","HIOKELPH_01133","DOCPNFPP_01202"
"cheV","","Chemotaxis protein CheV","6","6","1","3","301","","","","956","956","956","OBHBHFCO_00678","CCHHBCMG_01345","HDHBLALJ_00915","NFMMKAFD_01246","HIOKELPH_01131","DOCPNFPP_01204"
"cheW","","Chemotaxis protein CheW","6","6","1","3","303","","","","521","521","521","OBHBHFCO_00680","CCHHBCMG_01343","HDHBLALJ_00913","NFMMKAFD_01248","HIOKELPH_01129","DOCPNFPP_01206"
"fabZ","","3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ","6","6","1","3","325","","","","440","440","440","OBHBHFCO_00697","CCHHBCMG_01334","HDHBLALJ_00893","NFMMKAFD_01257","HIOKELPH_01108","DOCPNFPP_01223"
"ilvE","","Branched-chain-amino-acid aminotransferase","6","6","1","3","329","","","","914","914","914","OBHBHFCO_00701","CCHHBCMG_01330","HDHBLALJ_00889","NFMMKAFD_01261","HIOKELPH_01104","DOCPNFPP_01227"
"group_306","","hypothetical protein","6","6","1","3","330","","","","1082","1088","1084","OBHBHFCO_00702","CCHHBCMG_01329","HDHBLALJ_00888","NFMMKAFD_01262","HIOKELPH_01103","DOCPNFPP_01228"
"lpxC","","UDP-3-O-acyl-N-acetylglucosamine deacetylase","6","6","1","2","429","","","","884","884","884","OBHBHFCO_00717","CCHHBCMG_01499","HDHBLALJ_01533","NFMMKAFD_01393","HIOKELPH_01420","DOCPNFPP_01243"
"dusB","","tRNA-dihydrouridine synthase B","6","6","1","2","438","","","","926","926","926","OBHBHFCO_00726","CCHHBCMG_01508","HDHBLALJ_01524","NFMMKAFD_01402","HIOKELPH_01411","DOCPNFPP_01252"
"pfs","","Aminodeoxyfutalosine nucleosidase","6","6","1","2","450","","","","686","686","686","OBHBHFCO_00733","CCHHBCMG_01515","HDHBLALJ_01517","NFMMKAFD_01408","HIOKELPH_01404","DOCPNFPP_01259"
"atpA","","ATP synthase subunit alpha","6","6","1","2","463","","","","1505","1505","1505","OBHBHFCO_00745","CCHHBCMG_01527","HDHBLALJ_01505","NFMMKAFD_01420","HIOKELPH_01392","DOCPNFPP_01271"
"soj","","Sporulation initiation inhibitor protein Soj","6","6","1","2","603","","","","785","785","785","OBHBHFCO_00750","CCHHBCMG_01532","HDHBLALJ_01500","NFMMKAFD_01425","HIOKELPH_01387","DOCPNFPP_01276"
"eno","","Enolase","6","6","1","2","612","","","","1244","1244","1244","OBHBHFCO_00764","CCHHBCMG_01241","HDHBLALJ_01486","NFMMKAFD_00824","HIOKELPH_01373","DOCPNFPP_01290"
"recA","","Protein RecA","6","6","1","2","613","","","","1031","1031","1031","OBHBHFCO_00765","CCHHBCMG_01242","HDHBLALJ_01485","NFMMKAFD_00825","HIOKELPH_01372","DOCPNFPP_01291"
"fliQ","","Flagellar biosynthetic protein FliQ","6","6","1","2","616","","","","269","269","269","OBHBHFCO_00767","CCHHBCMG_01244","HDHBLALJ_01483","NFMMKAFD_00827","HIOKELPH_01370","DOCPNFPP_01293"
"secY","","Protein translocase subunit SecY","6","6","1","2","626","","","","1265","1265","1265","OBHBHFCO_00777","CCHHBCMG_01254","HDHBLALJ_01473","NFMMKAFD_00836","HIOKELPH_01360","DOCPNFPP_01303"
"rplO","","50S ribosomal protein L15","6","6","1","2","627","","","","392","392","392","OBHBHFCO_00778","CCHHBCMG_01255","HDHBLALJ_01472","NFMMKAFD_00837","HIOKELPH_01359","DOCPNFPP_01304"
"rplR","","50S ribosomal protein L18","6","6","1","2","629","","","","356","356","356","OBHBHFCO_00780","CCHHBCMG_01257","HDHBLALJ_01470","NFMMKAFD_00839","HIOKELPH_01357","DOCPNFPP_01306"
"rplF","","50S ribosomal protein L6","6","6","1","2","630","","","","536","536","536","OBHBHFCO_00781","CCHHBCMG_01258","HDHBLALJ_01469","NFMMKAFD_00840","HIOKELPH_01356","DOCPNFPP_01307"
"rpsH","","30S ribosomal protein S8","6","6","1","2","631","","","","395","395","395","OBHBHFCO_00782","CCHHBCMG_01259","HDHBLALJ_01468","NFMMKAFD_00841","HIOKELPH_01355","DOCPNFPP_01308"
"rplE","","50S ribosomal protein L5","6","6","1","2","633","","","","542","542","542","OBHBHFCO_00784","CCHHBCMG_01261","HDHBLALJ_01466","NFMMKAFD_00843","HIOKELPH_01353","DOCPNFPP_01310"
"group_326","","hypothetical protein","6","6","1","2","637","","","","185","185","185","OBHBHFCO_00788","CCHHBCMG_01265","HDHBLALJ_01462","NFMMKAFD_00847","HIOKELPH_01349","DOCPNFPP_01314"
"rpsC","","30S ribosomal protein S3","6","6","1","2","639","","","","701","701","701","OBHBHFCO_00790","CCHHBCMG_01267","HDHBLALJ_01460","NFMMKAFD_00849","HIOKELPH_01347","DOCPNFPP_01316"
"rluB","","Ribosomal large subunit pseudouridine synthase B","6","6","1","2","647","","","","761","761","761","OBHBHFCO_00798","CCHHBCMG_01275","HDHBLALJ_01452","NFMMKAFD_00857","HIOKELPH_01339","DOCPNFPP_01324"
"cusR","","Transcriptional regulatory protein CusR","6","6","1","3","190","","","","671","671","671","OBHBHFCO_00814","CCHHBCMG_01412","HDHBLALJ_00991","NFMMKAFD_01172","HIOKELPH_01208","DOCPNFPP_01128"
"glmM","","Phosphoglucosamine mutase","6","6","1","3","183","","","","1337","1340","1339","OBHBHFCO_00818","CCHHBCMG_01416","HDHBLALJ_00995","NFMMKAFD_01168","HIOKELPH_01212","DOCPNFPP_01124"
"rpsU","","30S ribosomal protein S21","6","6","1","3","169","","","","197","212","207","OBHBHFCO_00828","CCHHBCMG_01426","HDHBLALJ_01005","NFMMKAFD_01158","HIOKELPH_01222","DOCPNFPP_01114"
"ribH","","6,7-dimethyl-8-ribityllumazine synthase","6","6","1","3","156","","","","464","464","464","OBHBHFCO_00841","CCHHBCMG_01439","HDHBLALJ_01018","NFMMKAFD_01145","HIOKELPH_01235","DOCPNFPP_01101"
