locus_tag	ftype	length_bp	gene	EC_number	COG	product
OBHBHFCO_00063	CDS	1320	clpY		COG1220	ATP-dependent protease ATPase subunit ClpY
OBHBHFCO_00064	CDS	876	era		COG1159	GTPase Era
OBHBHFCO_00065	CDS	1077				hypothetical protein
OBHBHFCO_00066	CDS	558				hypothetical protein
OBHBHFCO_00067	CDS	1788				hypothetical protein
OBHBHFCO_00068	CDS	1836	mrdA	3.4.16.4	COG0768	Peptidoglycan D,D-transpeptidase MrdA
OBHBHFCO_00069	CDS	495				hypothetical protein
OBHBHFCO_00070	CDS	591	engB		COG0218	putative GTP-binding protein EngB
OBHBHFCO_00071	CDS	459	lptA			Lipopolysaccharide export system protein LptA
OBHBHFCO_00072	CDS	513				hypothetical protein
OBHBHFCO_00073	CDS	489		3.1.3.103	COG1778	2-keto-3-deoxy-D-glycero-D-galacto-9-phosphonononic acid phosphatase
OBHBHFCO_00074	CDS	840	rlpA	4.2.2.-		Endolytic peptidoglycan transglycosylase RlpA
OBHBHFCO_00075	CDS	1134				hypothetical protein
OBHBHFCO_00076	CDS	813	ycfH	3.1.-.-	COG0084	putative metal-dependent hydrolase YcfH
OBHBHFCO_00077	CDS	1245	pleD			Response regulator PleD
OBHBHFCO_00078	CDS	1524	recN		COG0497	DNA repair protein RecN
OBHBHFCO_00079	CDS	861	nadK	2.7.1.23	COG0061	NAD kinase
OBHBHFCO_00080	CDS	1752	aspS	6.1.1.23	COG0173	Aspartate--tRNA(Asp/Asn) ligase
OBHBHFCO_00081	CDS	576	adk	2.7.4.3	COG0563	Adenylate kinase
OBHBHFCO_00082	CDS	519	ppa	3.6.1.1	COG0221	Inorganic pyrophosphatase
OBHBHFCO_00083	CDS	501	msrA	1.8.4.11	COG0225	Peptide methionine sulfoxide reductase MsrA
OBHBHFCO_00084	CDS	876	rsmF	2.1.1.-	COG0144	Ribosomal RNA small subunit methyltransferase F
OBHBHFCO_00085	CDS	381	yqgF	3.1.-.-		Putative pre-16S rRNA nuclease
OBHBHFCO_00086	CDS	771				hypothetical protein
OBHBHFCO_00087	CDS	1032				hypothetical protein
OBHBHFCO_00088	CDS	1023	ilvC	1.1.1.86	COG0059	Ketol-acid reductoisomerase (NADP(+))
OBHBHFCO_00089	CDS	1935	rnr	3.1.13.1	COG0557	Ribonuclease R
OBHBHFCO_00090	CDS	966			COG1466	Protein
OBHBHFCO_00091	CDS	345	hypA		COG0375	Hydrogenase/urease maturation factor HypA
OBHBHFCO_00092	CDS	975	hypE	4.2.1.-	COG0309	Carbamoyl dehydratase HypE
OBHBHFCO_00093	CDS	1092	hypD		COG0409	Hydrogenase maturation factor HypD
OBHBHFCO_00094	CDS	282				hypothetical protein
OBHBHFCO_00095	CDS	744	hypB			Hydrogenase maturation factor HypB
OBHBHFCO_00096	CDS	2187	hypF	6.2.-.-	COG0068	Carbamoyltransferase HypF
OBHBHFCO_00097	CDS	1521				hypothetical protein
OBHBHFCO_00098	CDS	648				hypothetical protein
OBHBHFCO_00099	CDS	1317	yeeO		COG0534	putative FMN/FAD exporter YeeO
OBHBHFCO_00100	CDS	1227				hypothetical protein
OBHBHFCO_00101	CDS	741	pstB	7.3.2.1		Phosphate import ATP-binding protein PstB
OBHBHFCO_00102	CDS	1089				hypothetical protein
OBHBHFCO_00103	CDS	915	pstC1		COG0573	Phosphate transport system permease protein PstC 1
OBHBHFCO_00104	CDS	996	sphX		COG0226	Protein SphX
OBHBHFCO_00105	CDS	501	ftn	1.16.3.2	COG1528	Bacterial non-heme ferritin
OBHBHFCO_00106	CDS	1377				hypothetical protein
OBHBHFCO_00107	CDS	981				hypothetical protein
OBHBHFCO_00108	CDS	1170				hypothetical protein
OBHBHFCO_00109	CDS	1365	tdeA		COG1538	Toxin and drug export protein A
OBHBHFCO_00110	CDS	1926	macB	3.6.3.-	COG0577	Macrolide export ATP-binding/permease protein MacB
OBHBHFCO_00111	CDS	1173	macA		COG0845	Macrolide export protein MacA
OBHBHFCO_00112	CDS	1191		3.5.1.47		N-acetyldiaminopimelate deacetylase
OBHBHFCO_00113	CDS	882				hypothetical protein
OBHBHFCO_00114	CDS	1701	dsbD	1.8.1.8	COG4232	Thiol:disulfide interchange protein DsbD
OBHBHFCO_00115	CDS	669	yiiM		COG2258	Protein YiiM
OBHBHFCO_00116	CDS	1344				hypothetical protein
OBHBHFCO_00117	CDS	1251	porA			Major outer membrane protein
OBHBHFCO_00118	CDS	1125	dnaJ		COG0484	Chaperone protein DnaJ
OBHBHFCO_00119	CDS	672	regX3_1		COG0745	Sensory transduction protein regX3
OBHBHFCO_00120	CDS	1251	czcS	2.7.13.3		Sensor protein CzcS
OBHBHFCO_00121	CDS	576	recR		COG0353	Recombination protein RecR
OBHBHFCO_00122	CDS	501				hypothetical protein
OBHBHFCO_00123	CDS	693	hydC		COG1969	Quinone-reactive Ni/Fe-hydrogenase B-type cytochrome subunit
OBHBHFCO_00124	CDS	1716	hydB	1.12.5.1	COG0374	Quinone-reactive Ni/Fe-hydrogenase large chain
OBHBHFCO_00125	CDS	1140	hydA	1.12.5.1	COG1740	Quinone-reactive Ni/Fe-hydrogenase small chain
OBHBHFCO_00126	CDS	1437	mnmC_1		COG0665	tRNA 5-methylaminomethyl-2-thiouridine biosynthesis bifunctional protein MnmC
OBHBHFCO_00127	CDS	333	mnmC_2		COG0665	tRNA 5-methylaminomethyl-2-thiouridine biosynthesis bifunctional protein MnmC
OBHBHFCO_00128	CDS	1971				hypothetical protein
OBHBHFCO_00129	CDS	1092				hypothetical protein
OBHBHFCO_00130	CDS	1206	tyrS	6.1.1.1	COG0162	Tyrosine--tRNA ligase
OBHBHFCO_00131	CDS	2196	relA	2.7.6.5	COG0317	GTP pyrophosphokinase
OBHBHFCO_00132	CDS	225	rpoZ	2.7.7.6		DNA-directed RNA polymerase subunit omega
OBHBHFCO_00133	CDS	717	pyrH	2.7.4.22	COG0528	Uridylate kinase
OBHBHFCO_00134	CDS	1203				hypothetical protein
OBHBHFCO_00135	CDS	807				hypothetical protein
OBHBHFCO_00136	CDS	666	ftsE		COG2884	Cell division ATP-binding protein FtsE
OBHBHFCO_00137	CDS	1197	trmB	2.1.1.33		tRNA (guanine-N(7)-)-methyltransferase
OBHBHFCO_00138	CDS	1233				hypothetical protein
OBHBHFCO_00139	CDS	966	rluD	5.4.99.23	COG0564	Ribosomal large subunit pseudouridine synthase D
OBHBHFCO_00140	CDS	1101	mrdB	2.4.1.129	COG0772	Peptidoglycan glycosyltransferase MrdB
OBHBHFCO_00141	tRNA	77				tRNA-Met(cat)
OBHBHFCO_00142	CDS	237				hypothetical protein
OBHBHFCO_00143	CDS	141				hypothetical protein
OBHBHFCO_00144	CDS	1374	dnaB	3.6.4.12	COG0305	Replicative DNA helicase
OBHBHFCO_00145	CDS	930				hypothetical protein
OBHBHFCO_00146	CDS	1332	mepA		COG0534	Multidrug export protein MepA
OBHBHFCO_00147	CDS	936		1.18.1.2	COG0492	Ferredoxin--NADP reductase
OBHBHFCO_00148	CDS	1233	proA	1.2.1.41	COG0014	Gamma-glutamyl phosphate reductase
OBHBHFCO_00149	CDS	1086				hypothetical protein
OBHBHFCO_00150	CDS	570	efp		COG0231	Elongation factor P
OBHBHFCO_00151	CDS	276				hypothetical protein
OBHBHFCO_00152	CDS	387	fliS			Flagellar secretion chaperone FliS
OBHBHFCO_00153	CDS	1917				hypothetical protein
OBHBHFCO_00154	CDS	366				hypothetical protein
OBHBHFCO_00155	CDS	1803	ubiD	4.1.1.98		3-octaprenyl-4-hydroxybenzoate carboxy-lyase
OBHBHFCO_00156	CDS	927	hemC	2.5.1.61	COG0181	Porphobilinogen deaminase
OBHBHFCO_00157	CDS	387				hypothetical protein
OBHBHFCO_00158	CDS	1707	proS	6.1.1.15	COG0442	Proline--tRNA ligase
OBHBHFCO_00159	CDS	1296	hemA	1.2.1.70	COG0373	Glutamyl-tRNA reductase
OBHBHFCO_00160	CDS	894	ispB	2.5.1.90	COG0142	Octaprenyl diphosphate synthase
OBHBHFCO_00161	CDS	531				hypothetical protein
OBHBHFCO_00162	CDS	264				hypothetical protein
OBHBHFCO_00163	CDS	558				hypothetical protein
OBHBHFCO_00164	CDS	846				hypothetical protein
OBHBHFCO_00165	CDS	1125	korA	1.2.7.3	COG0674	2-oxoglutarate oxidoreductase subunit KorA
OBHBHFCO_00166	CDS	312	rsxB_1	7.-.-.-		Ion-translocating oxidoreductase complex subunit B
OBHBHFCO_00167	CDS	870	sucD	6.2.1.5	COG0074	Succinate--CoA ligase [ADP-forming] subunit alpha
OBHBHFCO_00168	CDS	1164	sucC	6.2.1.5		Succinate--CoA ligase [ADP-forming] subunit beta
OBHBHFCO_00169	CDS	909	mdh	1.1.1.37	COG0039	Malate dehydrogenase
OBHBHFCO_00170	CDS	2205	icd2	1.1.1.42		Isocitrate dehydrogenase [NADP] 2
OBHBHFCO_00171	CDS	2571				hypothetical protein
OBHBHFCO_00172	CDS	903	mltG	4.2.2.-		Endolytic murein transglycosylase
OBHBHFCO_00173	CDS	432				hypothetical protein
OBHBHFCO_00174	CDS	495	flgC		COG1558	Flagellar basal-body rod protein FlgC
OBHBHFCO_00175	CDS	300	fliE			Flagellar hook-basal body complex protein FliE
OBHBHFCO_00176	CDS	1806	ftsI	3.4.16.4		Peptidoglycan D,D-transpeptidase FtsI
OBHBHFCO_00177	CDS	1809				hypothetical protein
OBHBHFCO_00178	CDS	435				hypothetical protein
OBHBHFCO_00179	CDS	321				hypothetical protein
OBHBHFCO_00180	CDS	1830	htpG		COG0326	Chaperone protein HtpG
OBHBHFCO_00181	CDS	369	crcB		COG0239	Putative fluoride ion transporter CrcB
OBHBHFCO_00182	CDS	702				hypothetical protein
OBHBHFCO_00183	CDS	1200				hypothetical protein
OBHBHFCO_00184	CDS	645	purQ	6.3.5.3	COG0047	Phosphoribosylformylglycinamidine synthase subunit PurQ
OBHBHFCO_00185	CDS	246	purS	6.3.5.3	COG1828	Phosphoribosylformylglycinamidine synthase subunit PurS
OBHBHFCO_00186	CDS	711	purC	6.3.2.6	COG0152	Phosphoribosylaminoimidazole-succinocarboxamide synthase
OBHBHFCO_00187	CDS	1323	ctpA	3.4.21.102	COG0793	Carboxy-terminal processing protease CtpA
OBHBHFCO_00188	CDS	282	csoR		COG1937	Copper-sensing transcriptional repressor CsoR
OBHBHFCO_00189	CDS	2574	clpB		COG0542	Chaperone protein ClpB
OBHBHFCO_00190	CDS	1932	pbpF		COG0744	Penicillin-binding protein 1F
OBHBHFCO_00191	CDS	552	maf	3.6.1.9	COG0424	dTTP/UTP pyrophosphatase
OBHBHFCO_00192	CDS	2529	alaS	6.1.1.7	COG0013	Alanine--tRNA ligase
OBHBHFCO_00193	CDS	1080	wbpE	2.6.1.98	COG0399	UDP-2-acetamido-2-deoxy-3-oxo-D-glucuronate aminotransferase
OBHBHFCO_00194	CDS	1113				hypothetical protein
OBHBHFCO_00195	CDS	855	pht4	1.-.-.-		Putative 4,5-dihydroxyphthalate dehydrogenase
OBHBHFCO_00196	CDS	912	hemH	4.99.1.1	COG0276	Ferrochelatase
OBHBHFCO_00197	CDS	1236	nrgA			Ammonium transporter
OBHBHFCO_00198	CDS	999	selU	2.5.1.-		tRNA 2-selenouridine synthase
OBHBHFCO_00199	CDS	486		2.7.7.53	COG0537	AP-4-A phosphorylase
OBHBHFCO_00200	CDS	777	trpC_1	4.1.1.48	COG0134	Indole-3-glycerol phosphate synthase
OBHBHFCO_00201	CDS	1278				hypothetical protein
OBHBHFCO_00202	CDS	375				hypothetical protein
OBHBHFCO_00203	CDS	702	yfiC	2.1.1.223		tRNA1(Val) (adenine(37)-N6)-methyltransferase
OBHBHFCO_00204	CDS	153				hypothetical protein
OBHBHFCO_00205	tRNA	77				tRNA-Arg(cct)
OBHBHFCO_00206	CDS	2076	fusA		COG0480	Elongation factor G
OBHBHFCO_00207	CDS	471	rpsG		COG0049	30S ribosomal protein S7
OBHBHFCO_00208	CDS	387	rpsL		COG0048	30S ribosomal protein S12
OBHBHFCO_00209	CDS	4551	rpoBC_1	2.7.7.6	COG0085	Bifunctional DNA-directed RNA polymerase subunit beta-beta'
OBHBHFCO_00210	CDS	4128	rpoBC_2	2.7.7.6	COG0085	Bifunctional DNA-directed RNA polymerase subunit beta-beta'
OBHBHFCO_00211	CDS	378	rplL		COG0222	50S ribosomal protein L7/L12
OBHBHFCO_00212	CDS	480	rplJ		COG0244	50S ribosomal protein L10
OBHBHFCO_00213	CDS	702	rplA		COG0081	50S ribosomal protein L1
OBHBHFCO_00214	CDS	426	rplK		COG0080	50S ribosomal protein L11
OBHBHFCO_00215	CDS	534	nusG		COG0250	Transcription termination/antitermination protein NusG
OBHBHFCO_00216	CDS	180				hypothetical protein
OBHBHFCO_00217	tRNA	76				tRNA-Trp(cca)
OBHBHFCO_00218	CDS	159	rpmG2			50S ribosomal protein L33 2
OBHBHFCO_00219	CDS	1200	tufA		COG0050	Elongation factor Tu
OBHBHFCO_00220	tRNA	75				tRNA-Thr(ggt)
OBHBHFCO_00221	tRNA	77				tRNA-Gly(tcc)
OBHBHFCO_00222	tRNA	86				tRNA-Tyr(gta)
OBHBHFCO_00223	tRNA	76				tRNA-Thr(tgt)
OBHBHFCO_00224	CDS	738	glnQ_1	3.6.3.-	COG1126	Glutamine transport ATP-binding protein GlnQ
OBHBHFCO_00225	CDS	657	glnP_1		COG0765	putative glutamine ABC transporter permease protein GlnP
OBHBHFCO_00226	CDS	702	yecS		COG0765	L-cystine transport system permease protein YecS
OBHBHFCO_00227	CDS	597	crp		COG0664	cAMP-activated global transcriptional regulator CRP
OBHBHFCO_00228	CDS	387	ctb		COG2346	Group 3 truncated hemoglobin ctb
OBHBHFCO_00229	CDS	1815	recG	3.6.4.12		ATP-dependent DNA helicase RecG
OBHBHFCO_00230	CDS	1221				hypothetical protein
OBHBHFCO_00231	CDS	1047	mqnC	1.21.98.1	COG1060	Cyclic dehypoxanthine futalosine synthase
OBHBHFCO_00232	CDS	1188				hypothetical protein
OBHBHFCO_00233	CDS	1089	nusA		COG0195	Transcription termination/antitermination protein NusA
OBHBHFCO_00234	CDS	243				hypothetical protein
OBHBHFCO_00235	CDS	1302	miaB	2.8.4.3	COG0621	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase
OBHBHFCO_00236	CDS	624				hypothetical protein
OBHBHFCO_00237	CDS	987				hypothetical protein
OBHBHFCO_00238	CDS	525				hypothetical protein
OBHBHFCO_00239	CDS	519				hypothetical protein
OBHBHFCO_00240	CDS	1293	bzaF	4.1.99.23	COG0422	5-hydroxybenzimidazole synthase
OBHBHFCO_00241	CDS	762	dinG	3.1.-.-		3'-5' exonuclease DinG
OBHBHFCO_00242	CDS	648	rpe	5.1.3.1		Ribulose-phosphate 3-epimerase
OBHBHFCO_00243	CDS	195	rpmB		COG0227	50S ribosomal protein L28
OBHBHFCO_00244	CDS	216				hypothetical protein
OBHBHFCO_00245	CDS	1095				hypothetical protein
OBHBHFCO_00246	CDS	594				hypothetical protein
OBHBHFCO_00247	CDS	2064	cirA_1		COG4771	Colicin I receptor
OBHBHFCO_00248	CDS	834	citE	4.1.-.-	COG2301	Citrate lyase subunit beta-like protein
OBHBHFCO_00249	CDS	1173	yfdE	2.8.3.19	COG1804	Acetyl-CoA:oxalate CoA-transferase
OBHBHFCO_00250	CDS	831	meh	4.2.1.153	COG3777	Mesaconyl-C(4)-CoA hydratase
OBHBHFCO_00251	CDS	1245				hypothetical protein
OBHBHFCO_00252	CDS	876	cmoB	2.5.1.-	COG0500	tRNA U34 carboxymethyltransferase
OBHBHFCO_00253	CDS	576				hypothetical protein
OBHBHFCO_00254	CDS	174				hypothetical protein
OBHBHFCO_00255	CDS	528				hypothetical protein
OBHBHFCO_00256	CDS	1269	pepD	3.4.13.18	COG2195	Cytosol non-specific dipeptidase
OBHBHFCO_00257	CDS	1248	proP_1			Proline/betaine transporter
OBHBHFCO_00258	CDS	840	glnH		COG0834	ABC transporter glutamine-binding protein GlnH
OBHBHFCO_00259	CDS	1104				hypothetical protein
OBHBHFCO_00260	CDS	741				hypothetical protein
OBHBHFCO_00261	CDS	204				hypothetical protein
OBHBHFCO_00262	CDS	741				hypothetical protein
OBHBHFCO_00263	CDS	1266	lutA_1			Lactate utilization protein A
OBHBHFCO_00264	CDS	1356	hemN	1.3.98.3	COG0635	Oxygen-independent coproporphyrinogen III oxidase
OBHBHFCO_00265	CDS	492				hypothetical protein
OBHBHFCO_00266	CDS	912	argF	2.1.3.3	COG0078	Ornithine carbamoyltransferase, anabolic
OBHBHFCO_00267	CDS	984	hemB	4.2.1.24		Delta-aminolevulinic acid dehydratase
OBHBHFCO_00268	CDS	561	ribA	3.5.4.25	COG0807	GTP cyclohydrolase-2
OBHBHFCO_00269	CDS	600	rsmG	2.1.1.170	COG0357	Ribosomal RNA small subunit methyltransferase G
OBHBHFCO_00270	CDS	573				hypothetical protein
OBHBHFCO_00271	CDS	1095				hypothetical protein
OBHBHFCO_00272	CDS	882	cysL		COG0583	HTH-type transcriptional regulator CysL
OBHBHFCO_00273	CDS	1866	rpoD		COG0568	RNA polymerase sigma factor RpoD
OBHBHFCO_00274	CDS	510				hypothetical protein
OBHBHFCO_00275	CDS	519				hypothetical protein
OBHBHFCO_00276	CDS	417				hypothetical protein
OBHBHFCO_00277	CDS	1605	ftsH3	3.4.24.-		ATP-dependent zinc metalloprotease FtsH 3
OBHBHFCO_00278	CDS	1257	mtaB	2.8.4.5	COG0621	Threonylcarbamoyladenosine tRNA methylthiotransferase MtaB
OBHBHFCO_00279	CDS	1572				hypothetical protein
OBHBHFCO_00280	CDS	1056	aroB	4.2.3.4	COG0337	3-dehydroquinate synthase
OBHBHFCO_00281	CDS	1401				hypothetical protein
OBHBHFCO_00282	CDS	1134	tgt	2.4.2.29		Queuine tRNA-ribosyltransferase
OBHBHFCO_00283	CDS	771				hypothetical protein
OBHBHFCO_00284	tRNA	77				tRNA-Arg(gcg)
OBHBHFCO_00285	CDS	681				hypothetical protein
OBHBHFCO_00286	CDS	285				hypothetical protein
OBHBHFCO_00287	CDS	1680				hypothetical protein
OBHBHFCO_00288	CDS	171				hypothetical protein
OBHBHFCO_00289	CDS	456				hypothetical protein
OBHBHFCO_00290	CDS	3261	ccsA			Cytochrome c biogenesis protein CcsA
OBHBHFCO_00291	CDS	696	livF		COG0410	High-affinity branched-chain amino acid transport ATP-binding protein LivF
OBHBHFCO_00292	CDS	771	lptB_2	3.6.3.-	COG1137	Lipopolysaccharide export system ATP-binding protein LptB
OBHBHFCO_00293	CDS	1041				hypothetical protein
OBHBHFCO_00294	CDS	960	livH		COG0559	High-affinity branched-chain amino acid transport system permease protein LivH
OBHBHFCO_00295	CDS	1110				hypothetical protein
OBHBHFCO_00296	CDS	1116			COG0683	Leu/Ile/Val-binding protein 
OBHBHFCO_00297	CDS	432				hypothetical protein
OBHBHFCO_00298	CDS	201				hypothetical protein
OBHBHFCO_00299	CDS	507				hypothetical protein
OBHBHFCO_00300	CDS	1032	asd	1.2.1.11	COG0136	Aspartate-semialdehyde dehydrogenase
OBHBHFCO_00301	CDS	1299	atoC		COG2204	Regulatory protein AtoC
OBHBHFCO_00302	CDS	450				hypothetical protein
OBHBHFCO_00303	CDS	522				hypothetical protein
OBHBHFCO_00304	CDS	2568	gyrA	5.6.2.2	COG0188	DNA gyrase subunit A
OBHBHFCO_00305	CDS	576				hypothetical protein
OBHBHFCO_00306	CDS	645				hypothetical protein
OBHBHFCO_00307	CDS	1797	lepA	3.6.5.-	COG0481	Elongation factor 4
OBHBHFCO_00308	CDS	1275				hypothetical protein
OBHBHFCO_00309	CDS	741	czcB			Cobalt-zinc-cadmium resistance protein CzcB
OBHBHFCO_00310	CDS	3018	mdtC			Multidrug resistance protein MdtC
OBHBHFCO_00311	CDS	807				hypothetical protein
OBHBHFCO_00312	CDS	720	bpt	2.3.2.29	COG2935	Aspartate/glutamate leucyltransferase
OBHBHFCO_00313	CDS	237				hypothetical protein
OBHBHFCO_00314	CDS	1443	cfiB	6.4.1.7	COG0439	2-oxoglutarate carboxylase small subunit
OBHBHFCO_00315	CDS	1164	ftsW	2.4.1.129	COG0772	putative peptidoglycan glycosyltransferase FtsW
OBHBHFCO_00316	CDS	1017	murG	2.4.1.227	COG0707	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase
OBHBHFCO_00317	CDS	1161	yycB		COG2807	putative transporter YycB
OBHBHFCO_00318	CDS	855				hypothetical protein
OBHBHFCO_00319	CDS	891	rhaS			HTH-type transcriptional activator RhaS
OBHBHFCO_00320	CDS	606	thiE_1	2.5.1.3		Thiamine-phosphate synthase
OBHBHFCO_00321	CDS	1146	thiH	4.1.99.19	COG1060	2-iminoacetate synthase
OBHBHFCO_00322	CDS	777	thiG	2.8.1.10	COG2022	Thiazole synthase
OBHBHFCO_00323	CDS	801				hypothetical protein
OBHBHFCO_00324	CDS	192				hypothetical protein
OBHBHFCO_00325	CDS	3087				hypothetical protein
OBHBHFCO_00326	CDS	1101	dapE	3.5.1.18	COG0624	Succinyl-diaminopimelate desuccinylase
OBHBHFCO_00327	CDS	603				hypothetical protein
OBHBHFCO_00328	CDS	702	cobB	2.3.1.286	COG0846	NAD-dependent protein deacylase
OBHBHFCO_00329	CDS	4077				hypothetical protein
OBHBHFCO_00330	CDS	2208	mutS2	3.1.-.-	COG1193	Endonuclease MutS2
OBHBHFCO_00331	CDS	351				hypothetical protein
OBHBHFCO_00332	CDS	1296	murC	6.3.2.8		UDP-N-acetylmuramate--L-alanine ligase
OBHBHFCO_00333	CDS	456				hypothetical protein
OBHBHFCO_00334	CDS	207				hypothetical protein
OBHBHFCO_00335	CDS	360				hypothetical protein
OBHBHFCO_00336	CDS	1524				hypothetical protein
OBHBHFCO_00337	CDS	258				hypothetical protein
OBHBHFCO_00338	CDS	777				hypothetical protein
OBHBHFCO_00339	CDS	174	xseB	3.1.11.6		Exodeoxyribonuclease 7 small subunit
OBHBHFCO_00340	CDS	1455	guaB	1.1.1.205	COG0516	Inosine-5'-monophosphate dehydrogenase
OBHBHFCO_00341	CDS	1365	gatA	6.3.5.7	COG0154	Glutamyl-tRNA(Gln) amidotransferase subunit A
OBHBHFCO_00342	CDS	2757	ileS	6.1.1.5	COG0060	Isoleucine--tRNA ligase
OBHBHFCO_00343	CDS	1089	cinA			Putative competence-damage inducible protein
OBHBHFCO_00344	CDS	426				hypothetical protein
OBHBHFCO_00345	CDS	621	yfkO	1.-.-.-	COG0778	Putative NAD(P)H nitroreductase YfkO
OBHBHFCO_00346	CDS	606		1.-.-.-		Putative NAD(P)H nitroreductase
OBHBHFCO_00347	CDS	537	pgsA	2.7.8.5		CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
