locus_tag	ftype	length_bp	gene	EC_number	COG	product
HIOKELPH_00032	CDS	1509	dltA	6.2.1.54	COG1020	D-alanine--D-alanyl carrier protein ligase
HIOKELPH_00033	CDS	615				hypothetical protein
HIOKELPH_00034	CDS	573				hypothetical protein
HIOKELPH_00035	CDS	657				hypothetical protein
HIOKELPH_00036	CDS	579				hypothetical protein
HIOKELPH_00037	CDS	222				hypothetical protein
HIOKELPH_00038	CDS	1062	fabH_2	2.3.1.180		3-oxoacyl-[acyl-carrier-protein] synthase 3
HIOKELPH_00039	CDS	1563				hypothetical protein
HIOKELPH_00040	CDS	417				hypothetical protein
HIOKELPH_00041	CDS	894	COQ3_1	2.1.1.222		Ubiquinone biosynthesis O-methyltransferase, mitochondrial
HIOKELPH_00042	CDS	231				hypothetical protein
HIOKELPH_00043	CDS	792				hypothetical protein
HIOKELPH_00044	CDS	1308			COG4310	Putative polysaccharide biosynthesis protein with aminopeptidase-like domain protein
HIOKELPH_00045	CDS	1131	pseC	2.6.1.92	COG0399	UDP-4-amino-4,6-dideoxy-N-acetyl-beta-L-altrosamine transaminase
HIOKELPH_00046	CDS	1005	pseB	4.2.1.115	COG1086	UDP-N-acetylglucosamine 4,6-dehydratase (inverting)
HIOKELPH_00047	CDS	561	dcd	3.5.4.13	COG0717	dCTP deaminase
HIOKELPH_00048	CDS	456	accB		COG0511	Biotin carboxyl carrier protein of acetyl-CoA carboxylase
HIOKELPH_00049	CDS	1332	accC	6.3.4.14	COG0439	Biotin carboxylase
HIOKELPH_00050	CDS	816	surA	5.2.1.8		Chaperone SurA
HIOKELPH_00051	CDS	1392	gltX1	6.1.1.17		Glutamate--tRNA ligase 1
HIOKELPH_00052	CDS	1236	maeB	1.1.1.40	COG0281	NADP-dependent malic enzyme
HIOKELPH_00053	CDS	627	upp	2.4.2.9		Uracil phosphoribosyltransferase
HIOKELPH_00054	CDS	672	mqnA	4.2.1.151		Chorismate dehydratase
HIOKELPH_00055	CDS	651	ktrA		COG0569	Ktr system potassium uptake protein A
HIOKELPH_00056	CDS	1344	ktrB		COG0168	Ktr system potassium uptake protein B
HIOKELPH_00057	tRNA	76				tRNA-Phe(gaa)
HIOKELPH_00058	tRNA	76				tRNA-Met(cat)
HIOKELPH_00059	tRNA	75				tRNA-Gln(ttg)
HIOKELPH_00060	CDS	1020	ribBA		COG0108	Riboflavin biosynthesis protein RibBA
HIOKELPH_00061	CDS	444	yqeY		COG1610	putative protein YqeY
HIOKELPH_00062	CDS	1701	ilvB_1	2.2.1.6	COG0028	Acetolactate synthase large subunit
HIOKELPH_00063	CDS	465	ilvH	2.2.1.6	COG0440	Acetolactate synthase isozyme 3 small subunit
HIOKELPH_00064	CDS	954	lpxD	2.3.1.-	COG1044	UDP-3-O-acylglucosamine N-acyltransferase
HIOKELPH_00065	CDS	1026	queA	2.4.99.17	COG0809	S-adenosylmethionine:tRNA ribosyltransferase-isomerase
HIOKELPH_00066	CDS	747	tatC		COG0805	Sec-independent protein translocase protein TatC
HIOKELPH_00067	CDS	405	tatB			Sec-independent protein translocase protein TatB
HIOKELPH_00068	CDS	1068	hemW		COG0635	Heme chaperone HemW
HIOKELPH_00069	CDS	471	rppH	3.6.1.-	COG0494	RNA pyrophosphohydrolase
HIOKELPH_00070	CDS	1203		2.7.2.4	COG0527	Aspartate kinase
HIOKELPH_00071	CDS	534				hypothetical protein
HIOKELPH_00072	CDS	612				hypothetical protein
HIOKELPH_00073	CDS	1170	folP		COG0294	Bifunctional dihydropteroate synthase/dihydropteroate reductase
HIOKELPH_00074	CDS	1944	ligA_1	6.5.1.2	COG0272	DNA ligase
HIOKELPH_00075	CDS	1005				hypothetical protein
HIOKELPH_00076	CDS	750	tlyA	2.1.1.226	COG1189	16S/23S rRNA (cytidine-2'-O)-methyltransferase TlyA
HIOKELPH_00077	CDS	837	ribF			Bifunctional riboflavin kinase/FMN adenylyltransferase
HIOKELPH_00078	CDS	705	cmoA	2.1.3.-	COG0500	Carboxy-S-adenosyl-L-methionine synthase
HIOKELPH_00079	CDS	219				hypothetical protein
HIOKELPH_00080	CDS	633				hypothetical protein
HIOKELPH_00081	CDS	651				hypothetical protein
HIOKELPH_00082	CDS	627	nth_1	4.2.99.18	COG0177	Endonuclease III
HIOKELPH_00083	CDS	822	cbf2	5.2.1.8	COG0760	Putative peptidyl-prolyl cis-trans isomerase Cbf2
HIOKELPH_00084	CDS	1065	fba	4.1.2.13	COG0191	Fructose-bisphosphate aldolase
HIOKELPH_00085	CDS	1455				hypothetical protein
HIOKELPH_00086	CDS	951	pal_1			Peptidoglycan-associated lipoprotein
HIOKELPH_00087	CDS	870				hypothetical protein
HIOKELPH_00088	CDS	456	yfkJ	3.1.3.48	COG0394	Low molecular weight protein-tyrosine-phosphatase YfkJ
HIOKELPH_00089	CDS	1185	sbnD			Staphyloferrin B transporter
HIOKELPH_00090	CDS	657				hypothetical protein
HIOKELPH_00091	CDS	210		5.3.2.-	COG1942	putative tautomerase
HIOKELPH_00092	CDS	270				hypothetical protein
HIOKELPH_00093	CDS	483				hypothetical protein
HIOKELPH_00094	CDS	2217	pnp	2.7.7.8	COG1185	Polyribonucleotide nucleotidyltransferase
HIOKELPH_00095	CDS	2049	lptD			LPS-assembly protein LptD
HIOKELPH_00096	CDS	453				hypothetical protein
HIOKELPH_00097	CDS	1251	purD	6.3.4.13	COG0151	Phosphoribosylamine--glycine ligase
HIOKELPH_00098	CDS	1461				hypothetical protein
HIOKELPH_00099	CDS	519				hypothetical protein
HIOKELPH_00100	CDS	609	COQ3_2	2.1.1.222		Ubiquinone biosynthesis O-methyltransferase, mitochondrial
HIOKELPH_00101	CDS	1536	guaA	6.3.5.2		GMP synthase [glutamine-hydrolyzing]
HIOKELPH_00102	CDS	477				hypothetical protein
HIOKELPH_00103	CDS	1815	uvrC		COG0322	UvrABC system protein C
HIOKELPH_00104	CDS	1194				hypothetical protein
HIOKELPH_00105	CDS	903	moaA_1			GTP 3',8-cyclase
HIOKELPH_00106	CDS	1023	hemE	4.1.1.37	COG0407	Uroporphyrinogen decarboxylase
HIOKELPH_00107	CDS	312				hypothetical protein
HIOKELPH_00108	CDS	606				hypothetical protein
HIOKELPH_00109	CDS	1101	pdxA	1.1.1.262	COG1995	4-hydroxythreonine-4-phosphate dehydrogenase
HIOKELPH_00110	CDS	768	pdxJ	2.6.99.2	COG0854	Pyridoxine 5'-phosphate synthase
HIOKELPH_00111	CDS	978				hypothetical protein
HIOKELPH_00112	CDS	498				hypothetical protein
HIOKELPH_00113	CDS	111				hypothetical protein
HIOKELPH_00114	CDS	951				hypothetical protein
HIOKELPH_00115	CDS	822				hypothetical protein
HIOKELPH_00116	CDS	1995	glyS	6.1.1.14	COG0751	Glycine--tRNA ligase beta subunit
HIOKELPH_00117	CDS	621	gph_1	3.1.3.18	COG0546	Phosphoglycolate phosphatase
HIOKELPH_00118	CDS	333				hypothetical protein
HIOKELPH_00119	CDS	1623	kefC		COG0475	Glutathione-regulated potassium-efflux system protein KefC
HIOKELPH_00120	CDS	375				hypothetical protein
HIOKELPH_00121	CDS	900	cbpA		COG2214	Curved DNA-binding protein
HIOKELPH_00122	CDS	1419	degP	3.4.21.107	COG0265	Periplasmic serine endoprotease DegP
HIOKELPH_00123	CDS	675	regX3_1		COG0745	Sensory transduction protein regX3
HIOKELPH_00124	CDS	1251				hypothetical protein
HIOKELPH_00125	tRNA	75				tRNA-Asn(gtt)
HIOKELPH_00126	CDS	1548				hypothetical protein
HIOKELPH_00127	CDS	1674				hypothetical protein
HIOKELPH_00128	CDS	1065				hypothetical protein
HIOKELPH_00129	CDS	1155				hypothetical protein
HIOKELPH_00130	CDS	333				hypothetical protein
HIOKELPH_00131	CDS	330				hypothetical protein
HIOKELPH_00132	CDS	522	hxuB		COG2831	Heme/hemopexin transporter protein HuxB
HIOKELPH_00133	CDS	789				hypothetical protein
HIOKELPH_00134	CDS	366				hypothetical protein
HIOKELPH_00135	CDS	600				Bacteriohemerythrin
HIOKELPH_00136	CDS	666	mprA_1		COG0745	Response regulator MprA
HIOKELPH_00137	CDS	1206	sasA_1	2.7.-.-		Adaptive-response sensory-kinase SasA
HIOKELPH_00138	CDS	204				hypothetical protein
HIOKELPH_00139	CDS	1638	groL			60 kDa chaperonin
HIOKELPH_00140	CDS	261	groS		COG0234	10 kDa chaperonin
HIOKELPH_00141	CDS	2541				hypothetical protein
HIOKELPH_00142	CDS	612	ribE	2.5.1.9		Riboflavin synthase
HIOKELPH_00143	CDS	681				hypothetical protein
HIOKELPH_00144	CDS	207				hypothetical protein
HIOKELPH_00145	CDS	1161	mepM	3.4.24.-	COG0739	Murein DD-endopeptidase MepM
HIOKELPH_00146	CDS	729	pgbA			Plasminogen-binding protein PgbA
HIOKELPH_00147	CDS	1383		1.-.-.-	COG0277	putative FAD-linked oxidoreductase
HIOKELPH_00148	CDS	807				hypothetical protein
HIOKELPH_00149	CDS	1260				hypothetical protein
HIOKELPH_00150	CDS	558	yohD		COG0586	Inner membrane protein YohD
HIOKELPH_00151	CDS	1611	rny	3.1.-.-	COG1418	Ribonuclease Y
HIOKELPH_00152	CDS	558	resA_1			Thiol-disulfide oxidoreductase ResA
HIOKELPH_00153	CDS	867	ftsY		COG0552	Signal recognition particle receptor FtsY
HIOKELPH_00154	CDS	945	yjiA	3.6.-.-	COG0523	P-loop guanosine triphosphatase YjiA
HIOKELPH_00155	CDS	336				hypothetical protein
HIOKELPH_00156	CDS	882	pgdA	3.5.1.-		Peptidoglycan deacetylase
HIOKELPH_00157	CDS	852	ramA	3.5.1.100		(R)-stereoselective amidase
HIOKELPH_00158	CDS	1341	radA	3.6.4.-	COG1066	DNA repair protein RadA
HIOKELPH_00159	CDS	681	atpB		COG0356	ATP synthase subunit a
HIOKELPH_00160	CDS	201				hypothetical protein
HIOKELPH_00161	CDS	849	metF	1.5.1.20	COG0685	5,10-methylenetetrahydrofolate reductase
HIOKELPH_00162	CDS	2265	metE	2.1.1.14	COG0620	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase
HIOKELPH_00163	CDS	771			COG1464	Membrane lipoprotein TpN32
HIOKELPH_00164	CDS	993	vldW	1.14.11.52		Validamycin A dioxygenase
HIOKELPH_00165	CDS	495	luxS	4.4.1.21	COG1854	S-ribosylhomocysteine lyase
HIOKELPH_00166	CDS	1419	gatB	6.3.5.-	COG0064	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B
HIOKELPH_00167	CDS	900	gpsA	1.1.1.94		Glycerol-3-phosphate dehydrogenase [NAD(P)+]
HIOKELPH_00168	CDS	1182	pyrC_1	3.5.2.3		Dihydroorotase
HIOKELPH_00169	CDS	1527				hypothetical protein
HIOKELPH_00170	CDS	804				hypothetical protein
HIOKELPH_00171	CDS	1053	dctA		COG1301	Aerobic C4-dicarboxylate transport protein
HIOKELPH_00172	CDS	177				hypothetical protein
HIOKELPH_00173	CDS	495	aer_1		COG0840	Aerotaxis receptor
HIOKELPH_00174	CDS	1380				hypothetical protein
HIOKELPH_00175	CDS	498	aer_2		COG0840	Aerotaxis receptor
HIOKELPH_00176	CDS	1860	mnmG		COG0445	tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG
HIOKELPH_00177	CDS	1269	arsB		COG1055	Arsenical pump membrane protein
HIOKELPH_00178	CDS	504	petA	7.1.1.8	COG0723	Ubiquinol-cytochrome c reductase iron-sulfur subunit
HIOKELPH_00179	CDS	1251	petB		COG1290	Cytochrome b
HIOKELPH_00180	CDS	1125				hypothetical protein
HIOKELPH_00181	CDS	1164	COQ3_3	2.1.1.222		Ubiquinone biosynthesis O-methyltransferase, mitochondrial
HIOKELPH_00182	CDS	792	rpsB		COG0052	30S ribosomal protein S2
HIOKELPH_00183	CDS	1074	tsf		COG0264	Elongation factor Ts
HIOKELPH_00184	CDS	636	lolD	3.6.3.-	COG1136	Lipoprotein-releasing system ATP-binding protein LolD
HIOKELPH_00185	CDS	768	fliR		COG1684	Flagellar biosynthetic protein FliR
HIOKELPH_00186	CDS	1554				hypothetical protein
HIOKELPH_00187	CDS	618	gmk	2.7.4.8	COG0194	Guanylate kinase
HIOKELPH_00188	CDS	240	tatA			Sec-independent protein translocase protein TatA
HIOKELPH_00189	CDS	1593	argS	6.1.1.19	COG0018	Arginine--tRNA ligase
HIOKELPH_00190	CDS	309	mdtI		COG2076	Spermidine export protein MdtI
HIOKELPH_00191	CDS	342	mdtJ		COG2076	Spermidine export protein MdtJ
HIOKELPH_00192	CDS	708			COG0217	putative transcriptional regulatory protein
HIOKELPH_00193	CDS	483	ppiB	5.2.1.8	COG0652	Peptidyl-prolyl cis-trans isomerase B
HIOKELPH_00194	CDS	1464				hypothetical protein
HIOKELPH_00195	CDS	228				hypothetical protein
HIOKELPH_00196	CDS	603	dedA		COG0586	Protein DedA
HIOKELPH_00197	CDS	927	ldh	1.1.1.27		L-lactate dehydrogenase
HIOKELPH_00198	CDS	777	yjjP		COG2966	Inner membrane protein YjjP
HIOKELPH_00199	CDS	495				hypothetical protein
HIOKELPH_00200	CDS	270				hypothetical protein
HIOKELPH_00201	CDS	942	czcD		COG1230	Cadmium, cobalt and zinc/H(+)-K(+) antiporter
HIOKELPH_00202	CDS	204				hypothetical protein
HIOKELPH_00203	CDS	2124	copA_1	7.2.2.8	COG2217	Copper-exporting P-type ATPase
HIOKELPH_00204	CDS	1557				hypothetical protein
HIOKELPH_00205	CDS	1299	rho	3.6.4.-	COG1158	Transcription termination factor Rho
HIOKELPH_00206	CDS	2358	copA_2	7.2.2.8	COG2217	Copper-exporting P-type ATPase
HIOKELPH_00207	CDS	201				hypothetical protein
HIOKELPH_00208	CDS	300	cyf			Cytochrome c-553
HIOKELPH_00209	CDS	564	gmhB	3.1.3.83		D-glycero-alpha-D-manno-heptose-1,7-bisphosphate 7-phosphatase
HIOKELPH_00210	CDS	954	hldD	5.1.3.20	COG0451	ADP-L-glycero-D-manno-heptose-6-epimerase
HIOKELPH_00211	CDS	1386	hldE		COG2870	Bifunctional protein HldE
HIOKELPH_00212	CDS	561	gmhA1	5.3.1.28	COG0279	Phosphoheptose isomerase 1
HIOKELPH_00213	CDS	459				hypothetical protein
HIOKELPH_00214	CDS	945	rfaF	2.-.-.-	COG0859	ADP-heptose--LPS heptosyltransferase 2
HIOKELPH_00215	CDS	822	epsJ	2.4.-.-	COG0463	putative glycosyltransferase EpsJ
HIOKELPH_00216	CDS	1368	algA		COG0662	Alginate biosynthesis protein AlgA
HIOKELPH_00217	CDS	1140	gmd	4.2.1.47	COG1089	GDP-mannose 4,6-dehydratase
HIOKELPH_00218	CDS	939	colC	1.1.1.356		GDP-L-colitose synthase
HIOKELPH_00219	CDS	1170	colD	4.2.1.168		GDP-4-keto-6-deoxy-D-mannose 3-dehydratase
HIOKELPH_00220	CDS	1020				hypothetical protein
HIOKELPH_00221	CDS	972				hypothetical protein
HIOKELPH_00222	CDS	816	rfbF	2.7.7.33	COG1208	Glucose-1-phosphate cytidylyltransferase
HIOKELPH_00223	CDS	1074	rfbG	4.2.1.45	COG0451	CDP-glucose 4,6-dehydratase
HIOKELPH_00224	CDS	1758	ilvB_2	2.2.1.6	COG0028	Acetolactate synthase large subunit
HIOKELPH_00225	CDS	918	fcl	1.1.1.271		GDP-L-fucose synthase
HIOKELPH_00226	CDS	1323	spnQ	4.2.1.164		dTDP-4-dehydro-2,6-dideoxy-D-glucose 3-dehydratase
HIOKELPH_00227	CDS	1074				hypothetical protein
HIOKELPH_00228	CDS	1212				hypothetical protein
HIOKELPH_00229	CDS	1065	gtfA	2.4.1.-		UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase GtfA subunit
HIOKELPH_00230	CDS	1548				hypothetical protein
HIOKELPH_00231	CDS	888	lpxL	2.3.1.241	COG1560	Lipid A biosynthesis lauroyltransferase
HIOKELPH_00232	CDS	1029	rfaC	2.-.-.-	COG0859	Lipopolysaccharide heptosyltransferase 1
HIOKELPH_00233	CDS	792				hypothetical protein
HIOKELPH_00234	CDS	987	galE	5.1.3.2	COG1087	UDP-glucose 4-epimerase
HIOKELPH_00235	CDS	1701	pglK	7.5.2.5	COG1132	Protein glycosylation K
HIOKELPH_00236	CDS	1077	pglH	2.4.1.292	COG0438	GalNAc-alpha-(1->4)-GalNAc-alpha-(1->3)-diNAcBac-PP-undecaprenol alpha-1,4-N-acetyl-D-galactosaminyltransferase
HIOKELPH_00237	CDS	930	pglI	2.4.1.293	COG0463	GalNAc(5)-diNAcBac-PP-undecaprenol beta-1,3-glucosyltransferase
HIOKELPH_00238	CDS	1098	pglJ	2.4.1.291	COG0438	N-acetylgalactosamine-N,N'-diacetylbacillosaminyl-diphospho-undecaprenol 4-alpha-N-acetylgalactosaminyltransferase
HIOKELPH_00239	CDS	2145	pglB	2.4.99.19		Undecaprenyl-diphosphooligosaccharide--protein glycotransferase
HIOKELPH_00240	CDS	1131	pglA	2.4.1.290		N,N'-diacetylbacillosaminyl-diphospho-undecaprenol alpha-1,3-N-acetylgalactosaminyltransferase
HIOKELPH_00241	CDS	603	pglC	2.7.8.36	COG2148	Undecaprenyl phosphate N,N'-diacetylbacillosamine 1-phosphate transferase
HIOKELPH_00242	CDS	588	pglD	2.3.1.203	COG0110	UDP-N-acetylbacillosamine N-acetyltransferase
HIOKELPH_00243	CDS	1161	pglE	2.6.1.34	COG0399	UDP-N-acetylbacillosamine transaminase
HIOKELPH_00244	CDS	1773	pglF	4.2.1.135	COG1086	UDP-N-acetyl-alpha-D-glucosamine C6 dehydratase
HIOKELPH_00245	CDS	393	cheY		COG0784	Chemotaxis protein CheY 
HIOKELPH_00246	CDS	849	prmA	2.1.1.-	COG2264	Ribosomal protein L11 methyltransferase
HIOKELPH_00247	CDS	1947	ftsH_1	3.4.24.-	COG0465	ATP-dependent zinc metalloprotease FtsH
HIOKELPH_00248	CDS	615	psd_1	4.1.1.65		Phosphatidylserine decarboxylase proenzyme
HIOKELPH_00249	CDS	726				hypothetical protein
HIOKELPH_00250	CDS	798				hypothetical protein
HIOKELPH_00251	CDS	357	msrB	1.8.4.12	COG0229	Peptide methionine sulfoxide reductase MsrB
HIOKELPH_00252	CDS	639				hypothetical protein
HIOKELPH_00253	CDS	654	aat	2.3.2.6	COG2360	Leucyl/phenylalanyl-tRNA--protein transferase
HIOKELPH_00254	CDS	2118	clpA		COG0542	ATP-dependent Clp protease ATP-binding subunit ClpA
HIOKELPH_00255	CDS	291	clpS		COG2127	ATP-dependent Clp protease adapter protein ClpS
HIOKELPH_00256	CDS	606				hypothetical protein
HIOKELPH_00257	CDS	453	smpB		COG0691	SsrA-binding protein
HIOKELPH_00258	CDS	771	ispE	2.7.1.148	COG1947	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase
HIOKELPH_00259	CDS	228	csrA		COG1551	Translational regulator CsrA
HIOKELPH_00260	CDS	819	truB	5.4.99.25		tRNA pseudouridine synthase B
HIOKELPH_00261	CDS	2061	pcrA	3.6.4.12		ATP-dependent DNA helicase PcrA
HIOKELPH_00262	CDS	438				hypothetical protein
HIOKELPH_00263	CDS	1716	pepF1	3.4.24.-		Oligoendopeptidase F, plasmid
HIOKELPH_00264	CDS	882	pyrB	2.1.3.2	COG0540	Aspartate carbamoyltransferase
HIOKELPH_00265	CDS	1224	sstT		COG3633	Serine/threonine transporter SstT
HIOKELPH_00266	CDS	1200	metK	2.5.1.6		S-adenosylmethionine synthase
HIOKELPH_00267	CDS	1149				hypothetical protein
HIOKELPH_00268	CDS	219				hypothetical protein
HIOKELPH_00269	CDS	405		1.1.1.390		Sulfoquinovose 1-dehydrogenase
HIOKELPH_00270	CDS	1215	lnt	2.3.1.269		Apolipoprotein N-acyltransferase
HIOKELPH_00271	CDS	273	yajC		COG1862	Sec translocon accessory complex subunit YajC
HIOKELPH_00272	CDS	1581	secD		COG0342	Protein translocase subunit SecD
HIOKELPH_00273	CDS	972	secF		COG0341	Protein translocase subunit SecF
HIOKELPH_00274	CDS	2433	leuS	6.1.1.4	COG0495	Leucine--tRNA ligase
HIOKELPH_00275	CDS	513				hypothetical protein
HIOKELPH_00276	CDS	1404				hypothetical protein
HIOKELPH_00277	CDS	1188				hypothetical protein
HIOKELPH_00278	CDS	903				hypothetical protein
HIOKELPH_00279	CDS	288				hypothetical protein
HIOKELPH_00280	CDS	2937	mfd	3.6.4.-		Transcription-repair-coupling factor
HIOKELPH_00281	CDS	765				hypothetical protein
HIOKELPH_00282	CDS	684	nth_2	4.2.99.18		Endonuclease III
HIOKELPH_00283	CDS	813	thiD	2.7.1.49		Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase
HIOKELPH_00284	CDS	633	thiE_1	2.5.1.3	COG0352	Thiamine-phosphate synthase
HIOKELPH_00285	CDS	630				hypothetical protein
HIOKELPH_00286	CDS	453				hypothetical protein
HIOKELPH_00287	CDS	669				hypothetical protein
HIOKELPH_00288	CDS	306				hypothetical protein
HIOKELPH_00289	CDS	738	proC	1.5.1.2	COG0345	Pyrroline-5-carboxylate reductase
HIOKELPH_00290	CDS	390	fliW		COG1699	Flagellar assembly factor FliW
HIOKELPH_00291	CDS	648	bamD			Outer membrane protein assembly factor BamD
HIOKELPH_00292	CDS	2376	lon	3.4.21.53	COG0466	Lon protease
HIOKELPH_00293	CDS	261	rpsR		COG0238	30S ribosomal protein S18
HIOKELPH_00294	CDS	549	ssb		COG0629	Single-stranded DNA-binding protein
HIOKELPH_00295	CDS	378	rpsF		COG0360	30S ribosomal protein S6
HIOKELPH_00296	CDS	1065	yihN_1			Inner membrane protein YihN
HIOKELPH_00297	CDS	204	yihN_2			Inner membrane protein YihN
HIOKELPH_00298	CDS	1005				hypothetical protein
HIOKELPH_00299	CDS	285				hypothetical protein
HIOKELPH_00300	CDS	192				hypothetical protein
HIOKELPH_00301	CDS	252				hypothetical protein
HIOKELPH_00302	CDS	1104	mmpA	3.4.24.-	COG0750	Metalloprotease MmpA
HIOKELPH_00303	CDS	537	pgsA	2.7.8.5		CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
HIOKELPH_00304	CDS	606		1.-.-.-		Putative NAD(P)H nitroreductase
HIOKELPH_00305	CDS	621	yfkO	1.-.-.-	COG0778	Putative NAD(P)H nitroreductase YfkO
HIOKELPH_00306	CDS	426				hypothetical protein
HIOKELPH_00307	CDS	1089	cinA			Putative competence-damage inducible protein
HIOKELPH_00308	CDS	2757	ileS	6.1.1.5	COG0060	Isoleucine--tRNA ligase
HIOKELPH_00309	CDS	1368	gatA	6.3.5.7	COG0154	Glutamyl-tRNA(Gln) amidotransferase subunit A
HIOKELPH_00310	CDS	1455	guaB	1.1.1.205	COG0516	Inosine-5'-monophosphate dehydrogenase
HIOKELPH_00311	CDS	174	xseB	3.1.11.6		Exodeoxyribonuclease 7 small subunit
HIOKELPH_00312	CDS	780				hypothetical protein
HIOKELPH_00313	CDS	258				hypothetical protein
HIOKELPH_00314	CDS	1524				hypothetical protein
HIOKELPH_00315	CDS	354				hypothetical protein
HIOKELPH_00316	CDS	636				hypothetical protein
HIOKELPH_00317	CDS	1296	murC	6.3.2.8		UDP-N-acetylmuramate--L-alanine ligase
HIOKELPH_00318	CDS	351				hypothetical protein
HIOKELPH_00319	CDS	2208	mutS2	3.1.-.-	COG1193	Endonuclease MutS2
HIOKELPH_00320	CDS	3996				hypothetical protein
HIOKELPH_00321	CDS	702	cobB	2.3.1.286	COG0846	NAD-dependent protein deacylase
HIOKELPH_00322	CDS	603				hypothetical protein
HIOKELPH_00323	CDS	1101	dapE	3.5.1.18	COG0624	Succinyl-diaminopimelate desuccinylase
HIOKELPH_00324	CDS	3111				hypothetical protein
HIOKELPH_00325	CDS	192				hypothetical protein
HIOKELPH_00326	CDS	801				hypothetical protein
HIOKELPH_00327	CDS	777	thiG	2.8.1.10	COG2022	Thiazole synthase
HIOKELPH_00328	CDS	1146	thiH	4.1.99.19	COG1060	2-iminoacetate synthase
HIOKELPH_00329	CDS	606	thiE_2	2.5.1.3		Thiamine-phosphate synthase
HIOKELPH_00330	CDS	891	rhaS			HTH-type transcriptional activator RhaS
HIOKELPH_00331	CDS	855				hypothetical protein
HIOKELPH_00332	CDS	1161	yycB		COG2807	putative transporter YycB
HIOKELPH_00333	CDS	1017	murG	2.4.1.227	COG0707	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase
HIOKELPH_00334	CDS	1164	ftsW	2.4.1.129	COG0772	putative peptidoglycan glycosyltransferase FtsW
HIOKELPH_00335	CDS	1443	cfiB	6.4.1.7	COG0439	2-oxoglutarate carboxylase small subunit
HIOKELPH_00336	CDS	237				hypothetical protein
HIOKELPH_00337	CDS	720	bpt	2.3.2.29	COG2935	Aspartate/glutamate leucyltransferase
HIOKELPH_00338	CDS	807				hypothetical protein
HIOKELPH_00339	CDS	3018	mdtC			Multidrug resistance protein MdtC
HIOKELPH_00340	CDS	741	czcB			Cobalt-zinc-cadmium resistance protein CzcB
