locus_tag	ftype	length_bp	gene	EC_number	COG	product
NFMMKAFD_00126	CDS	558	resA_1		COG0526	Thiol-disulfide oxidoreductase ResA
NFMMKAFD_00127	CDS	867	ftsY		COG0552	Signal recognition particle receptor FtsY
NFMMKAFD_00128	CDS	1341	radA	3.6.4.-	COG1066	DNA repair protein RadA
NFMMKAFD_00129	CDS	681	atpB		COG0356	ATP synthase subunit a
NFMMKAFD_00130	CDS	849	metF	1.5.1.20	COG0685	5,10-methylenetetrahydrofolate reductase
NFMMKAFD_00131	CDS	2265	metE	2.1.1.14	COG0620	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase
NFMMKAFD_00132	CDS	771			COG1464	Membrane lipoprotein TpN32
NFMMKAFD_00133	CDS	993				hypothetical protein
NFMMKAFD_00134	CDS	495	luxS	4.4.1.21	COG1854	S-ribosylhomocysteine lyase
NFMMKAFD_00135	CDS	1419	gatB	6.3.5.-	COG0064	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B
NFMMKAFD_00136	CDS	894	gpsA	1.1.1.94		Glycerol-3-phosphate dehydrogenase [NAD(P)+]
NFMMKAFD_00137	CDS	1179	pyrC_1	3.5.2.3	COG0044	Dihydroorotase
NFMMKAFD_00138	CDS	1527				hypothetical protein
NFMMKAFD_00139	CDS	807				hypothetical protein
NFMMKAFD_00140	CDS	1377	dctA		COG1301	Aerobic C4-dicarboxylate transport protein
NFMMKAFD_00141	CDS	495	aer_1		COG0840	Aerotaxis receptor
NFMMKAFD_00142	CDS	1380				hypothetical protein
NFMMKAFD_00143	CDS	498	aer_2		COG0840	Aerotaxis receptor
NFMMKAFD_00144	CDS	1860	mnmG		COG0445	tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG
NFMMKAFD_00145	CDS	1287	arsB		COG1055	Arsenical pump membrane protein
NFMMKAFD_00146	CDS	504	petA	7.1.1.8	COG0723	Ubiquinol-cytochrome c reductase iron-sulfur subunit
NFMMKAFD_00147	CDS	1251	petB		COG1290	Cytochrome b
NFMMKAFD_00148	CDS	1125				hypothetical protein
NFMMKAFD_00149	CDS	1164	cfa	2.1.1.79	COG2230	Cyclopropane-fatty-acyl-phospholipid synthase
NFMMKAFD_00150	CDS	792	rpsB		COG0052	30S ribosomal protein S2
NFMMKAFD_00151	CDS	1074	tsf		COG0264	Elongation factor Ts
NFMMKAFD_00152	CDS	636	lolD	3.6.3.-	COG1136	Lipoprotein-releasing system ATP-binding protein LolD
NFMMKAFD_00153	CDS	768	fliR		COG1684	Flagellar biosynthetic protein FliR
NFMMKAFD_00154	CDS	1644				hypothetical protein
NFMMKAFD_00155	CDS	618	gmk	2.7.4.8	COG0194	Guanylate kinase
NFMMKAFD_00156	CDS	240	tatA			Sec-independent protein translocase protein TatA
NFMMKAFD_00157	CDS	1593	argS	6.1.1.19	COG0018	Arginine--tRNA ligase
NFMMKAFD_00158	CDS	309	mdtI		COG2076	Spermidine export protein MdtI
NFMMKAFD_00159	CDS	342	mdtJ		COG2076	Spermidine export protein MdtJ
NFMMKAFD_00160	CDS	708			COG0217	putative transcriptional regulatory protein
NFMMKAFD_00161	CDS	483	ppiB	5.2.1.8	COG0652	Peptidyl-prolyl cis-trans isomerase B
NFMMKAFD_00162	CDS	1401				hypothetical protein
NFMMKAFD_00163	CDS	228				hypothetical protein
NFMMKAFD_00164	CDS	603	dedA		COG0586	Protein DedA
NFMMKAFD_00165	CDS	927	ldh	1.1.1.27		L-lactate dehydrogenase
NFMMKAFD_00166	CDS	777	yjjP		COG2966	Inner membrane protein YjjP
NFMMKAFD_00167	CDS	495				hypothetical protein
NFMMKAFD_00168	CDS	264				hypothetical protein
NFMMKAFD_00169	CDS	951	czcD		COG1230	Cadmium, cobalt and zinc/H(+)-K(+) antiporter
NFMMKAFD_00170	CDS	195				hypothetical protein
NFMMKAFD_00171	CDS	2100	copA_1	7.2.2.8		putative copper-importing P-type ATPase A
NFMMKAFD_00172	CDS	522				hypothetical protein
NFMMKAFD_00173	CDS	1530				hypothetical protein
NFMMKAFD_00174	CDS	1299	rho	3.6.4.-	COG1158	Transcription termination factor Rho
NFMMKAFD_00175	CDS	2352	copA_2	7.2.2.8	COG2217	Copper-exporting P-type ATPase
NFMMKAFD_00176	CDS	207				hypothetical protein
NFMMKAFD_00177	CDS	303	cyf			Cytochrome c-553
NFMMKAFD_00178	CDS	528	gmhB	3.1.3.83		D-glycero-alpha-D-manno-heptose-1,7-bisphosphate 7-phosphatase
NFMMKAFD_00179	CDS	954	hldD	5.1.3.20	COG0451	ADP-L-glycero-D-manno-heptose-6-epimerase
NFMMKAFD_00180	CDS	1386	hldE		COG2870	Bifunctional protein HldE
NFMMKAFD_00181	CDS	561	gmhA1	5.3.1.28	COG0279	Phosphoheptose isomerase 1
NFMMKAFD_00182	CDS	960	rfaF	2.-.-.-	COG0859	ADP-heptose--LPS heptosyltransferase 2
NFMMKAFD_00183	CDS	819	epsJ	2.4.-.-	COG0463	putative glycosyltransferase EpsJ
NFMMKAFD_00184	CDS	960	htrL			Protein HtrL
NFMMKAFD_00185	CDS	957				hypothetical protein
NFMMKAFD_00186	CDS	774				hypothetical protein
NFMMKAFD_00187	CDS	1023				hypothetical protein
NFMMKAFD_00188	CDS	1254				hypothetical protein
NFMMKAFD_00189	CDS	1086	fdtB	2.6.1.90		dTDP-3-amino-3,6-dideoxy-alpha-D-galactopyranose transaminase
NFMMKAFD_00190	CDS	1077				hypothetical protein
NFMMKAFD_00191	CDS	528				hypothetical protein
NFMMKAFD_00192	CDS	444	fdtC	2.3.1.197		dTDP-3-amino-3,6-dideoxy-alpha-D-galactopyranose 3-N-acetyltransferase
NFMMKAFD_00193	CDS	405	fdtA_1	5.3.2.3		TDP-4-oxo-6-deoxy-alpha-D-glucose-3,4-oxoisomerase
NFMMKAFD_00194	CDS	420	fdtA_2	5.3.2.3		TDP-4-oxo-6-deoxy-alpha-D-glucose-3,4-oxoisomerase
NFMMKAFD_00195	CDS	1032	rfbB	4.2.1.46	COG1088	dTDP-glucose 4,6-dehydratase
NFMMKAFD_00196	CDS	879	rfbA	2.7.7.24	COG1209	Glucose-1-phosphate thymidylyltransferase 1
NFMMKAFD_00197	CDS	702				hypothetical protein
NFMMKAFD_00198	CDS	879	lpxL	2.3.1.241	COG1560	Lipid A biosynthesis lauroyltransferase
NFMMKAFD_00199	CDS	1029	rfaC	2.-.-.-	COG0859	Lipopolysaccharide heptosyltransferase 1
NFMMKAFD_00200	CDS	795				hypothetical protein
NFMMKAFD_00201	CDS	987	galE	5.1.3.2	COG1087	UDP-glucose 4-epimerase
NFMMKAFD_00202	CDS	1695	pglK	7.5.2.5	COG1132	Protein glycosylation K
NFMMKAFD_00203	CDS	1077	pglH	2.4.1.292	COG0438	GalNAc-alpha-(1->4)-GalNAc-alpha-(1->3)-diNAcBac-PP-undecaprenol alpha-1,4-N-acetyl-D-galactosaminyltransferase
NFMMKAFD_00204	CDS	930	pglI	2.4.1.293	COG0463	GalNAc(5)-diNAcBac-PP-undecaprenol beta-1,3-glucosyltransferase
NFMMKAFD_00205	CDS	1098	pglJ	2.4.1.291	COG0438	N-acetylgalactosamine-N,N'-diacetylbacillosaminyl-diphospho-undecaprenol 4-alpha-N-acetylgalactosaminyltransferase
NFMMKAFD_00206	CDS	2142	pglB	2.4.99.19		Undecaprenyl-diphosphooligosaccharide--protein glycotransferase
NFMMKAFD_00207	CDS	1131	pglA	2.4.1.290		N,N'-diacetylbacillosaminyl-diphospho-undecaprenol alpha-1,3-N-acetylgalactosaminyltransferase
NFMMKAFD_00208	CDS	603	pglC	2.7.8.36	COG2148	Undecaprenyl phosphate N,N'-diacetylbacillosamine 1-phosphate transferase
NFMMKAFD_00209	CDS	591	pglD	2.3.1.203	COG0110	UDP-N-acetylbacillosamine N-acetyltransferase
NFMMKAFD_00210	CDS	1161	pglE	2.6.1.34	COG0399	UDP-N-acetylbacillosamine transaminase
NFMMKAFD_00211	CDS	1773	pglF	4.2.1.135	COG1086	UDP-N-acetyl-alpha-D-glucosamine C6 dehydratase
NFMMKAFD_00212	CDS	894				hypothetical protein
NFMMKAFD_00213	CDS	393	cheY		COG0784	Chemotaxis protein CheY 
NFMMKAFD_00214	CDS	846	rsmC	2.1.1.172		Ribosomal RNA small subunit methyltransferase C
NFMMKAFD_00215	CDS	1938	ftsH_1	3.4.24.-	COG0465	ATP-dependent zinc metalloprotease FtsH
NFMMKAFD_00216	CDS	618	psd_1	4.1.1.65		Phosphatidylserine decarboxylase proenzyme
NFMMKAFD_00217	CDS	729				hypothetical protein
NFMMKAFD_00218	CDS	798				hypothetical protein
NFMMKAFD_00219	CDS	360	msrB	1.8.4.12		Peptide methionine sulfoxide reductase MsrB
NFMMKAFD_00220	CDS	639				hypothetical protein
NFMMKAFD_00221	CDS	1290	bdlA		COG0840	Biofilm dispersion protein BdlA
NFMMKAFD_00222	CDS	648	aat	2.3.2.6	COG2360	Leucyl/phenylalanyl-tRNA--protein transferase
NFMMKAFD_00223	CDS	2130	clpA		COG0542	ATP-dependent Clp protease ATP-binding subunit ClpA
NFMMKAFD_00224	CDS	291	clpS		COG2127	ATP-dependent Clp protease adapter protein ClpS
NFMMKAFD_00225	CDS	603				hypothetical protein
NFMMKAFD_00226	CDS	453	smpB		COG0691	SsrA-binding protein
NFMMKAFD_00227	CDS	768	ispE	2.7.1.148		Putative 4-diphosphocytidyl-2-C-methyl-D-erythritol kinase
NFMMKAFD_00228	CDS	228	csrA		COG1551	Translational regulator CsrA
NFMMKAFD_00229	CDS	819	truB	5.4.99.25		tRNA pseudouridine synthase B
NFMMKAFD_00230	CDS	2076	pcrA	3.6.4.12	COG0210	ATP-dependent DNA helicase PcrA
NFMMKAFD_00231	CDS	438				hypothetical protein
NFMMKAFD_00232	CDS	1722	pepF1	3.4.24.-		Oligoendopeptidase F, plasmid
NFMMKAFD_00233	CDS	888	pyrB	2.1.3.2	COG0540	Aspartate carbamoyltransferase
NFMMKAFD_00234	CDS	1224	sstT		COG3633	Serine/threonine transporter SstT
NFMMKAFD_00235	CDS	1197	metK	2.5.1.6		S-adenosylmethionine synthase
NFMMKAFD_00236	CDS	1326	lnt	2.3.1.269		Apolipoprotein N-acyltransferase
NFMMKAFD_00237	CDS	231	yajC		COG1862	Sec translocon accessory complex subunit YajC
NFMMKAFD_00238	CDS	1581	secD		COG0342	Protein translocase subunit SecD
NFMMKAFD_00239	CDS	972	secF		COG0341	Protein translocase subunit SecF
NFMMKAFD_00240	CDS	2430	leuS	6.1.1.4		Leucine--tRNA ligase
NFMMKAFD_00241	CDS	513				hypothetical protein
NFMMKAFD_00242	CDS	1398				hypothetical protein
NFMMKAFD_00243	CDS	1173				hypothetical protein
NFMMKAFD_00244	CDS	903				hypothetical protein
NFMMKAFD_00245	CDS	288				hypothetical protein
NFMMKAFD_00246	CDS	2937	mfd_1	3.6.4.-		Transcription-repair-coupling factor
NFMMKAFD_00247	CDS	762				hypothetical protein
NFMMKAFD_00248	CDS	687	nth_1	4.2.99.18		Endonuclease III
NFMMKAFD_00249	CDS	840	thiD	2.7.1.49		Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase
NFMMKAFD_00250	CDS	633	thiE_1	2.5.1.3		Thiamine-phosphate synthase
NFMMKAFD_00251	CDS	630				hypothetical protein
NFMMKAFD_00252	CDS	393				hypothetical protein
NFMMKAFD_00253	CDS	663				hypothetical protein
NFMMKAFD_00254	CDS	303				hypothetical protein
NFMMKAFD_00255	CDS	732	proC	1.5.1.2		Pyrroline-5-carboxylate reductase
NFMMKAFD_00256	CDS	390	fliW		COG1699	Flagellar assembly factor FliW
NFMMKAFD_00257	CDS	648	bamD			Outer membrane protein assembly factor BamD
NFMMKAFD_00258	CDS	2376	lon	3.4.21.53	COG0466	Lon protease
NFMMKAFD_00259	CDS	261	rpsR		COG0238	30S ribosomal protein S18
NFMMKAFD_00260	CDS	552	ssb		COG0629	Single-stranded DNA-binding protein
NFMMKAFD_00261	CDS	378	rpsF		COG0360	30S ribosomal protein S6
NFMMKAFD_00262	CDS	867			COG2990	putative protein
NFMMKAFD_00263	CDS	1107	mmpA	3.4.24.-	COG0750	Metalloprotease MmpA
NFMMKAFD_00264	CDS	537	pgsA	2.7.8.5		CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
NFMMKAFD_00265	CDS	606		1.-.-.-		Putative NAD(P)H nitroreductase
NFMMKAFD_00266	CDS	621	yfkO	1.-.-.-	COG0778	Putative NAD(P)H nitroreductase YfkO
NFMMKAFD_00267	CDS	426				hypothetical protein
NFMMKAFD_00268	CDS	1089	cinA			Putative competence-damage inducible protein
NFMMKAFD_00269	CDS	2754	ileS	6.1.1.5	COG0060	Isoleucine--tRNA ligase
NFMMKAFD_00270	CDS	111				hypothetical protein
NFMMKAFD_00271	CDS	1362	gatA	6.3.5.7	COG0154	Glutamyl-tRNA(Gln) amidotransferase subunit A
NFMMKAFD_00272	CDS	1458	guaB	1.1.1.205	COG0516	Inosine-5'-monophosphate dehydrogenase
NFMMKAFD_00273	CDS	174	xseB	3.1.11.6		Exodeoxyribonuclease 7 small subunit
NFMMKAFD_00274	CDS	777				hypothetical protein
NFMMKAFD_00275	CDS	1974				hypothetical protein
NFMMKAFD_00276	CDS	1299	murC	6.3.2.8		UDP-N-acetylmuramate--L-alanine ligase
NFMMKAFD_00277	CDS	351				hypothetical protein
NFMMKAFD_00278	CDS	2208	mutS2	3.1.-.-	COG1193	Endonuclease MutS2
NFMMKAFD_00279	CDS	4032				hypothetical protein
NFMMKAFD_00280	CDS	702	cobB	2.3.1.286	COG0846	NAD-dependent protein deacylase
NFMMKAFD_00281	CDS	600				hypothetical protein
NFMMKAFD_00282	CDS	1098	dapE	3.5.1.18	COG0624	Succinyl-diaminopimelate desuccinylase
NFMMKAFD_00283	CDS	192				hypothetical protein
NFMMKAFD_00284	CDS	804				hypothetical protein
NFMMKAFD_00285	CDS	777	thiG	2.8.1.10	COG2022	Thiazole synthase
NFMMKAFD_00286	CDS	1146	thiH	4.1.99.19	COG1060	2-iminoacetate synthase
NFMMKAFD_00287	CDS	606	thiE_2	2.5.1.3		Thiamine-phosphate synthase
NFMMKAFD_00288	CDS	891	rhaS			HTH-type transcriptional activator RhaS
NFMMKAFD_00289	CDS	852				hypothetical protein
NFMMKAFD_00290	CDS	1164	yycB		COG2807	putative transporter YycB
NFMMKAFD_00291	CDS	1029	murG	2.4.1.227	COG0707	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase
NFMMKAFD_00292	CDS	1164	ftsW	2.4.1.129	COG0772	putative peptidoglycan glycosyltransferase FtsW
NFMMKAFD_00293	CDS	1446	cfiB	6.4.1.7	COG0439	2-oxoglutarate carboxylase small subunit
NFMMKAFD_00294	CDS	252				hypothetical protein
NFMMKAFD_00295	CDS	720	bpt	2.3.2.29	COG2935	Aspartate/glutamate leucyltransferase
NFMMKAFD_00296	CDS	807				hypothetical protein
NFMMKAFD_00297	CDS	3018	mdtC			Multidrug resistance protein MdtC
NFMMKAFD_00298	CDS	741	czcB			Cobalt-zinc-cadmium resistance protein CzcB
NFMMKAFD_00299	CDS	1275				hypothetical protein
NFMMKAFD_00300	CDS	1797	lepA	3.6.5.-	COG0481	Elongation factor 4
NFMMKAFD_00301	CDS	645				hypothetical protein
NFMMKAFD_00302	CDS	576				hypothetical protein
NFMMKAFD_00303	CDS	2592	gyrA	5.6.2.2	COG0188	DNA gyrase subunit A
NFMMKAFD_00304	CDS	516				hypothetical protein
NFMMKAFD_00305	CDS	318				hypothetical protein
NFMMKAFD_00306	CDS	1302	atoC		COG2204	Regulatory protein AtoC
NFMMKAFD_00307	CDS	1032	asd	1.2.1.11	COG0136	Aspartate-semialdehyde dehydrogenase
NFMMKAFD_00308	CDS	507				hypothetical protein
NFMMKAFD_00309	CDS	204				hypothetical protein
NFMMKAFD_00310	CDS	435				hypothetical protein
NFMMKAFD_00311	CDS	1116			COG0683	Leu/Ile/Val-binding protein 
NFMMKAFD_00312	CDS	1110			COG0683	Leu/Ile/Val-binding protein 
NFMMKAFD_00313	CDS	897	livH		COG0559	High-affinity branched-chain amino acid transport system permease protein LivH
NFMMKAFD_00314	CDS	1053				hypothetical protein
NFMMKAFD_00315	CDS	771	lptB_1	3.6.3.-	COG1137	Lipopolysaccharide export system ATP-binding protein LptB
NFMMKAFD_00316	CDS	696	livF		COG0410	High-affinity branched-chain amino acid transport ATP-binding protein LivF
NFMMKAFD_00317	CDS	3246	ccsA			Cytochrome c biogenesis protein CcsA
NFMMKAFD_00318	CDS	465				hypothetical protein
NFMMKAFD_00319	CDS	1248				hypothetical protein
NFMMKAFD_00320	CDS	1275				hypothetical protein
NFMMKAFD_00321	CDS	1953				hypothetical protein
NFMMKAFD_00322	CDS	861				hypothetical protein
NFMMKAFD_00323	CDS	174				hypothetical protein
NFMMKAFD_00324	CDS	765				hypothetical protein
NFMMKAFD_00325	CDS	870				hypothetical protein
NFMMKAFD_00326	CDS	1251				hypothetical protein
NFMMKAFD_00327	CDS	675				hypothetical protein
NFMMKAFD_00328	CDS	762				hypothetical protein
NFMMKAFD_00329	CDS	357				hypothetical protein
NFMMKAFD_00330	CDS	612				hypothetical protein
NFMMKAFD_00331	CDS	1995				hypothetical protein
NFMMKAFD_00332	CDS	897				hypothetical protein
